,0
0,"Anthem,Arizona"
1,"Apache Junction,Arizona"
2,"Buckeye,Arizona"
3,"Bullhead City,Arizona"
4,"Casa Grande,Arizona"
5,"Chandler,Arizona"
6,"El Mirage,Arizona"
7,"Florence,Arizona"
8,"Fountain Hills,Arizona"
9,"Gilbert,Arizona"
10,"Glendale,Arizona"
11,"Goodyear,Arizona"
12,"Imperial,California"
13,"Lake Havasu City,Arizona"
14,"Mesa,Arizona"
15,"New River,Arizona"
16,"Paradise Valley,Arizona"
17,"Peoria,Arizona"
18,"Phoenix,Arizona"
19,"Queen Creek,Arizona"
20,"San Bernardino,California"
21,"San Luis,Arizona"
22,"San Tan Valley,Arizona"
23,"Scottsdale,Arizona"
24,"Somerton,Arizona"
25,"Sun City,Arizona"
26,"Surprise,Arizona"
27,"Tempe,Arizona"
28,"Yuma,Arizona"
