,"Avondale,Arizona","Butte,California","Cameron,Texas","Collier,Florida","Colusa,California","Eloy,Arizona","Essex,New Jersey","Fairfield,Connecticut","Forsyth,North Carolina","Fortuna Foothills,Arizona","Jackson,Florida","Marana,Arizona","Maricopa,Arizona","New York,New York","Nogales,Arizona","Osceola,Florida","Pinellas,Florida","Pitt,North Carolina","Prescott Valley,Arizona","Richmond,New York","Riverside,California","Salem,New Jersey","Shasta,California","Stanislaus,California","Tucson,Arizona","Ventura,California","Waukesha,Wisconsin","Yolo,California","Yuba,California"
FF,0.59860902351176,0.627982267493869,0.29821113359159424,0.23172274101005239,0.5174550443835958,0.6343915192383413,0.5705766678492037,0.56034702061877,0.4536702522578639,0.9812256181171616,0.28064059688962717,0.5961349362378935,0.9647246752717934,0.36567114184858107,0.7127976300942003,0.26591042277161864,0.25157674284104986,0.2891274361860181,0.6796557366122861,0.3970642464303075,0.5313215209069224,0.3809727191600347,0.8056062887357186,0.5071398693651492,0.48300617091963455,0.6572315361012223,0.7098278453626896,0.5751167627576692,0.6135570263978559
FF_HI,0.48869630520039026,0.42704255443280853,0.3541181348828993,0.2015180049612434,0.35124089674535347,0.3583366785652671,0.2838736816896496,0.34741633667878286,0.3919113489667974,1.3152164272661506,0.1848593958809503,0.3296813894706234,0.444313048178045,0.32726748671584627,0.4253647406055231,0.21911315433972925,0.1676843902031505,0.25367709266350846,0.6755657554885754,0.31296494163658256,0.6114011553287206,0.29340298326024283,0.6567784742555467,0.42566791563767625,0.3935707479223161,0.6960119393714567,0.5846110519449162,0.38854355677200264,0.4221121584113734
FF_HI_LO,0.3658637193956059,0.5342827052591232,0.2727666219512419,0.23413426016421057,0.3813999501981581,0.49066988502179837,0.290971464243659,0.39096659099837566,0.46678123367027774,0.8886515160169681,0.22091646270317203,0.49253743456793037,0.5552511958687617,0.39659536565385145,0.6843420345270618,0.2130401927289878,0.20693782312114503,0.3236750801785564,0.6674461607891615,0.29306336082070855,0.6200792119611738,0.32886217725088696,0.691269976203344,0.47957472438661486,0.45487115182744353,0.605003449530221,0.5707899432438416,0.43654308055980084,0.5063388564725934
FF_LO,0.35205117673117764,0.3610267611975976,0.42058431325102275,0.21021339873138695,0.32228012089617614,0.4445095897316889,0.2327467959673874,0.3407519189120961,0.5182162053095762,0.8826390675073787,0.16302657998766995,0.475593879912602,0.5038578233131953,0.3401313620065842,0.4588644070242786,0.24117875156432006,0.19770508280010823,0.3350894022459207,0.5413690145340355,0.2679706086247137,0.6392837169580465,0.35416299300282406,0.4993506160118414,0.3710153461437184,0.39582902437016704,0.7233628598816354,0.6078074310137822,0.3322639243420679,0.49216094972755103
GRU,0.29100859337251045,0.5676157726822529,0.2294514469812646,0.17486703975241014,0.367706864276449,0.37989261996259316,0.3120167201718374,0.32680507351526966,0.33179290758359326,1.160932659240064,0.15508115740984924,0.35109484249147127,0.5198841478208975,0.2747696758565437,0.4730759478490065,0.1666386663257015,0.23063551173168836,0.24843401628946854,0.5339943743878961,0.29369418709325956,0.6166542643660283,0.33671085790114247,0.5158509787936315,0.3573214378981106,0.3013944206214608,0.6796335268606154,0.47181223203760797,0.343227451279363,0.511870585871418
GRU_HI,0.25200776591846846,0.42638214115873163,0.26902415022869364,0.15096179922161765,0.29967726167916364,0.5021062651319623,0.2719717500626143,0.3728068971328798,0.401917604120801,0.9940004174001948,0.1597524804687079,0.3430855330733233,0.3011722101331226,0.24393447904190127,0.46828874862743336,0.21502574904600286,0.16171148080580214,0.2789419453347385,0.5374005821269311,0.25023960787485916,0.7598810937338856,0.2860287023888004,0.5771110562147983,0.446368924705567,0.32775144300292947,0.5674379003767982,0.4946789307917378,0.3354355074537751,0.3759304659877406
GRU_HI_LO,0.2683530417444857,0.4958082813862682,0.3007748451794899,0.161218838565259,0.2701446371781261,0.35856245297184886,0.27390740062243063,0.4328809555774541,0.391595031033086,1.2320200659394982,0.14492874942077014,0.40384486786402185,0.3589756259116727,0.42200903956717845,0.3619583917891155,0.22241425908194626,0.1908933073953814,0.2967848659129147,0.7253433988961501,0.369706911875057,0.7899418298319818,0.3339522510745619,0.5338849419355944,0.5303172481334297,0.3821383391277452,0.7233356847638105,0.5890081083318293,0.4856582876106823,0.559505701363255
GRU_LO,0.2318481898381192,0.3867566793181086,0.29997771674984264,0.15230042877974603,0.33507603283621346,0.33343126290813946,0.3071076253436211,0.40091856979875723,0.3604359195890439,1.0091111072149106,0.15527975757657167,0.23231309375894219,0.4856378945930325,0.44147534185804044,0.3523578449228616,0.18853588989608616,0.2180513252243163,0.30932337617399136,0.5344937071685708,0.3319930473029889,0.6638908981320618,0.23810194469532064,0.4574380701871638,0.43078842344557655,0.2327396344570323,0.6932085095382656,0.4424440799006122,0.3565309749556265,0.3944986421944479
LSTM,0.27670566375143635,0.5096042945394764,0.3787610061865439,0.18231430412629887,0.4486908141116553,0.40019917753170525,0.31274006760288886,0.5080644110258662,0.3711895060820099,0.9711704596896665,0.15147241234822986,0.38137446442295403,0.4019258482382132,0.3153360088294834,0.4678730136663176,0.24368357642107732,0.2362345614070792,0.26154172328121594,0.6615765543066836,0.29793054574237454,0.6050067355183198,0.32145004936949595,0.566385538877252,0.40357764228564863,0.3044071483042346,0.6561547054416909,0.5434840854446453,0.404222068971706,0.5068637783335267
LSTM_HI,0.288467786500379,0.39708306798191917,0.31344436942186754,0.17148751804090695,0.2860397940869469,0.5468143818803206,0.2857481646275509,0.4481214115936202,0.4066308071473939,1.2011476601380031,0.19387787490301564,0.4809333789383828,0.460954097326356,0.33515019251614164,0.4733240541014503,0.19667335863730487,0.24486474131967748,0.29652672935518715,0.7687851806754744,0.2986587884909378,1.0100096579054252,0.31622405303955126,0.5432973314752649,0.43688987717080896,0.3077810356510699,0.6763700806560612,0.552906282456469,0.3972832604683199,0.4608120918491585
LSTM_HI_LO,0.4409419882043165,0.41269735339239033,0.3034898068088702,0.18009369283655483,0.3444985734411023,0.47025499426042006,0.3497064623001335,0.4413358276655539,0.45604445794514065,1.2713391306835404,0.19004386211145735,0.40525026775715656,0.43297044903199466,0.39124516523762076,0.3352931382420391,0.22766947820863384,0.21073673927663852,0.3242105155491015,0.6304167422385939,0.3926617020641147,0.9878540624147711,0.3611710101365885,0.4415810245773204,0.45533660372567175,0.32658773049740464,0.7505247245540048,0.5652083268357379,0.43437504367411556,0.4465597404065448
