City,State,Year,SeasonWidth,20%,40%,60%,80%
Alameda,California,2011,150.1,-0.019986675549633577,0.0,-0.006662225183211193,-0.05996002664890074
Alameda,California,2012,150.1,-0.019986675549633577,-0.013324450366422385,-0.21985343104596936,-0.04663557628247835
Alameda,California,2013,150.1,0.039973351099267154,0.033311125916055964,-0.019986675549633577,-0.019986675549633577
Alameda,California,2014,150.1,-0.019986675549633577,0.006662225183211193,0.019986675549633577,-0.02664890073284477
Alameda,California,2015,150.1,0.05329780146568954,0.08660892738174551,0.05329780146568954,0.039973351099267154
Alameda,California,2016,150.1,-0.006662225183211193,-0.006662225183211193,-0.07328447701532312,-0.09993337774816789
Alameda,California,2017,150.1,0.006662225183211193,0.013324450366422385,0.006662225183211193,-0.05996002664890074
Alameda,California,2018,150.1,-0.013324450366422385,-0.04663557628247835,-0.05329780146568954,-0.12658227848101267
Alameda,California,2019,150.1,,,,
Alameda,California,2020,150.1,,,,
Anthem,Arizona,2011,191.9,0.0,0.020844189682126108,0.020844189682126108,0.01563314226159458
Anthem,Arizona,2012,191.9,0.01563314226159458,0.020844189682126108,-0.018238665971860343,0.0026055237102657635
Anthem,Arizona,2013,191.9,0.06253256904637831,0.03647733194372069,0.0026055237102657635,-0.01563314226159458
Anthem,Arizona,2014,191.9,0.020844189682126108,0.03126628452318916,-0.010422094841063054,0.0
Anthem,Arizona,2015,191.9,0.020844189682126108,0.005211047420531527,0.005211047420531527,-0.026055237102657634
Anthem,Arizona,2016,191.9,-0.020844189682126108,0.0,-0.01563314226159458,0.0
Anthem,Arizona,2017,191.9,0.005211047420531527,0.010422094841063054,0.0,0.01563314226159458
Anthem,Arizona,2018,191.9,-0.010422094841063054,-0.01563314226159458,-0.010422094841063054,0.0
Anthem,Arizona,2019,191.9,,,,
Anthem,Arizona,2020,191.9,,,,
Apache Junction,Arizona,2011,201.7,0.012394645513138325,0.00991571641051066,0.007436787307882995,0.022310361923648984
Apache Junction,Arizona,2012,201.7,-0.00495785820525533,0.01487357461576599,0.03470500743678731,0.03966286564204264
Apache Junction,Arizona,2013,201.7,-0.00991571641051066,-0.007436787307882995,-0.022310361923648984,-0.012394645513138325
Apache Junction,Arizona,2014,201.7,-0.01983143282102132,-0.02478929102627665,-0.03470500743678731,-0.00991571641051066
Apache Junction,Arizona,2015,201.7,-0.01487357461576599,-0.01983143282102132,-0.00991571641051066,0.00495785820525533
Apache Junction,Arizona,2016,201.7,-0.01487357461576599,-0.01487357461576599,0.016526194017517766,-0.01983143282102132
Apache Junction,Arizona,2017,201.7,-0.02478929102627665,-0.01487357461576599,-0.00495785820525533,0.01983143282102132
Apache Junction,Arizona,2018,201.7,0.0,-0.012394645513138325,-0.052057511155180966,0.0
Apache Junction,Arizona,2019,201.7,,,,
Apache Junction,Arizona,2020,201.7,,,,
Bronx,New York,2011,148.5,0.006734006734006734,0.0,-0.020202020202020204,-0.006734006734006734
Bronx,New York,2012,148.5,-0.020202020202020204,0.006734006734006734,0.0,-0.020202020202020204
Bronx,New York,2013,148.5,-0.04713804713804714,-0.026936026936026935,-0.030303030303030304,-0.04040404040404041
Bronx,New York,2014,148.5,-0.020202020202020204,-0.006734006734006734,-0.03367003367003367,-0.006734006734006734
Bronx,New York,2015,148.5,0.0,0.0,-0.06734006734006734,-0.04040404040404041
Bronx,New York,2016,148.5,0.013468013468013467,-0.006734006734006734,-0.03367003367003367,-0.06734006734006734
Bronx,New York,2017,148.5,-0.006734006734006734,-0.006734006734006734,-0.006734006734006734,-0.020202020202020204
Bronx,New York,2018,148.5,-0.04040404040404041,-0.026936026936026935,-0.04040404040404041,-0.05387205387205387
Bronx,New York,2019,148.5,,,,
Bronx,New York,2020,148.5,,,,
Buckeye,Arizona,2011,193.1,0.018125323666494046,0.018125323666494046,0.01294665976178146,0.010357327809425169
Buckeye,Arizona,2012,193.1,0.018125323666494046,-0.018125323666494046,-0.05437597099948214,-0.08803728638011393
Buckeye,Arizona,2013,193.1,-0.041429311237700675,0.002589331952356292,-0.018125323666494046,-0.02330398757120663
Buckeye,Arizona,2014,193.1,0.0,-0.005178663904712584,-0.01294665976178146,-0.005178663904712584
Buckeye,Arizona,2015,193.1,0.015535991714137753,0.015535991714137753,0.007767995857068877,0.015535991714137753
Buckeye,Arizona,2016,193.1,0.0,0.0,0.007767995857068877,-0.010357327809425169
Buckeye,Arizona,2017,193.1,-0.015535991714137753,-0.005178663904712584,0.010357327809425169,0.01294665976178146
Buckeye,Arizona,2018,193.1,-0.010357327809425169,-0.010357327809425169,-0.005178663904712584,0.0
Buckeye,Arizona,2019,193.1,,,,
Buckeye,Arizona,2020,193.1,,,,
Bullhead City,Arizona,2011,195.5,0.015345268542199489,0.01278772378516624,0.005115089514066497,0.45012787723785164
Bullhead City,Arizona,2012,195.5,-0.020460358056265986,-0.061381074168797956,-0.061381074168797956,-0.020460358056265986
Bullhead City,Arizona,2013,195.5,0.09207161125319693,0.03324808184143223,-0.030690537084398978,-0.04092071611253197
Bullhead City,Arizona,2014,195.5,-0.005115089514066497,0.010230179028132993,0.020460358056265986,0.030690537084398978
Bullhead City,Arizona,2015,195.5,0.015345268542199489,0.010230179028132993,-0.056265984654731455,0.030690537084398978
Bullhead City,Arizona,2016,195.5,-0.015345268542199489,-0.02216538789428815,-0.005115089514066497,0.010230179028132993
Bullhead City,Arizona,2017,195.5,0.030690537084398978,-0.028132992327365727,-0.03836317135549872,-0.020460358056265986
Bullhead City,Arizona,2018,195.5,0.05115089514066496,0.005115089514066497,0.010230179028132993,0.015345268542199489
Bullhead City,Arizona,2019,195.5,,,,
Bullhead City,Arizona,2020,195.5,,,,
Calhoun,Florida,2011,181.1,0.0,0.0,0.0,-0.016565433462175594
Calhoun,Florida,2012,181.1,-0.011043622308117063,0.005521811154058531,0.011043622308117063,0.005521811154058531
Calhoun,Florida,2013,181.1,-0.005521811154058531,-0.016565433462175594,-0.011043622308117063,0.016565433462175594
Calhoun,Florida,2014,181.1,-0.016565433462175594,-0.016565433462175594,0.0,-0.005521811154058531
Calhoun,Florida,2015,181.1,-0.016565433462175594,-0.005521811154058531,-0.016565433462175594,-0.016565433462175594
Calhoun,Florida,2016,181.1,-0.016565433462175594,-0.005521811154058531,0.005521811154058531,0.005521811154058531
Calhoun,Florida,2017,181.1,-0.005521811154058531,-0.011043622308117063,0.0,0.005521811154058531
Calhoun,Florida,2018,181.1,0.0,0.005521811154058531,0.022087244616234125,0.060739922694643844
Calhoun,Florida,2019,181.1,,,,
Calhoun,Florida,2020,181.1,,,,
Casa Grande,Arizona,2011,195.3,0.010240655401945725,0.012800819252432155,0.015360983102918585,0.0076804915514592925
Casa Grande,Arizona,2012,195.3,0.0,0.005120327700972862,0.02048131080389145,0.06656426011264721
Casa Grande,Arizona,2013,195.3,0.015360983102918585,0.02048131080389145,0.015360983102918585,0.005120327700972862
Casa Grande,Arizona,2014,195.3,0.005120327700972862,-0.005120327700972862,0.005120327700972862,-0.015360983102918585
Casa Grande,Arizona,2015,195.3,-0.015360983102918585,-0.0409626216077829,-0.03072196620583717,-0.03072196620583717
Casa Grande,Arizona,2016,195.3,-0.015360983102918585,-0.005120327700972862,0.02560163850486431,-0.010240655401945725
Casa Grande,Arizona,2017,195.3,-0.005120327700972862,-0.005120327700972862,0.002560163850486431,0.0409626216077829
Casa Grande,Arizona,2018,195.3,-0.005120327700972862,0.02048131080389145,0.02560163850486431,0.010240655401945725
Casa Grande,Arizona,2019,195.3,,,,
Casa Grande,Arizona,2020,195.3,,,,
Casas Adobes,Arizona,2011,185.0,0.0,0.0,0.0,0.0
Casas Adobes,Arizona,2012,185.0,-0.005405405405405406,-0.010810810810810811,-0.010810810810810811,-0.016216216216216217
Casas Adobes,Arizona,2013,185.0,0.0,0.0,0.0,0.0
Casas Adobes,Arizona,2014,185.0,0.0,-0.005405405405405406,-0.016216216216216217,-0.03783783783783784
Casas Adobes,Arizona,2015,185.0,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406
Casas Adobes,Arizona,2016,185.0,0.0,0.0,0.005405405405405406,0.11891891891891893
Casas Adobes,Arizona,2017,185.0,0.0,-0.010810810810810811,0.0,0.016216216216216217
Casas Adobes,Arizona,2018,185.0,-0.005405405405405406,-0.005405405405405406,0.005405405405405406,0.010810810810810811
Casas Adobes,Arizona,2019,185.0,,,,
Casas Adobes,Arizona,2020,185.0,,,,
Catalina Foothills,Arizona,2011,184.2,0.0,0.0,0.0,0.0
Catalina Foothills,Arizona,2012,184.2,-0.005428881650380022,-0.016286644951140065,-0.005428881650380022,-0.016286644951140065
Catalina Foothills,Arizona,2013,184.2,0.016286644951140065,0.016286644951140065,0.02171552660152009,0.016286644951140065
Catalina Foothills,Arizona,2014,184.2,0.005428881650380022,-0.010857763300760045,-0.02171552660152009,-0.048859934853420196
Catalina Foothills,Arizona,2015,184.2,0.005428881650380022,0.005428881650380022,0.010857763300760045,0.02171552660152009
Catalina Foothills,Arizona,2016,184.2,-0.005428881650380022,-0.005428881650380022,-0.005428881650380022,0.11400651465798047
Catalina Foothills,Arizona,2017,184.2,-0.010857763300760045,-0.016286644951140065,-0.010857763300760045,-0.005428881650380022
Catalina Foothills,Arizona,2018,184.2,-0.005428881650380022,-0.010857763300760045,-0.005428881650380022,-0.005428881650380022
Catalina Foothills,Arizona,2019,184.2,,,,
Catalina Foothills,Arizona,2020,184.2,,,,
Chandler,Arizona,2011,194.7,0.010272213662044172,0.010272213662044172,0.005136106831022086,0.005136106831022086
Chandler,Arizona,2012,194.7,0.0,0.020544427324088343,0.0359527478171546,-0.06933744221879816
Chandler,Arizona,2013,194.7,0.04108885464817669,0.030816640986132512,0.02568053415511043,0.005136106831022086
Chandler,Arizona,2014,194.7,0.020544427324088343,0.020544427324088343,0.020544427324088343,0.015408320493066256
Chandler,Arizona,2015,194.7,-0.015408320493066256,-0.020544427324088343,-0.010272213662044172,-0.020544427324088343
Chandler,Arizona,2016,194.7,-0.010272213662044172,-0.005136106831022086,0.0,-0.010272213662044172
Chandler,Arizona,2017,194.7,-0.005136106831022086,0.005136106831022086,0.0,0.05136106831022086
Chandler,Arizona,2018,194.7,0.005136106831022086,0.015408320493066256,0.0,0.010272213662044172
Chandler,Arizona,2019,194.7,,,,
Chandler,Arizona,2020,194.7,,,,
Contra Costa,California,2011,145.1,0.0,0.013783597518952447,0.013783597518952447,-0.02067539627842867
Contra Costa,California,2012,145.1,-0.013783597518952447,-0.05513439007580979,-0.19297036526533426,-0.12405237767057202
Contra Costa,California,2013,145.1,0.08959338387319091,0.03445899379738112,0.02067539627842867,0.006891798759476223
