City,State,Year,SeasonWidth,20%,40%,60%,80%
Alameda,California,2011,150.1,0.04663557628247835,-0.006662225183211193,-0.033311125916055964,0.05329780146568954
Alameda,California,2012,150.1,0.019986675549633577,0.013324450366422385,0.0,
Alameda,California,2013,150.1,0.033311125916055964,0.013324450366422385,-0.013324450366422385,0.05329780146568954
Alameda,California,2014,150.1,0.02664890073284477,0.006662225183211193,0.013324450366422385,0.17988007994670221
Alameda,California,2015,150.1,0.0,-0.04663557628247835,-0.013324450366422385,0.013324450366422385
Alameda,California,2016,150.1,0.006662225183211193,-0.05329780146568954,-0.033311125916055964,
Alameda,California,2017,150.1,-0.02664890073284477,-0.019986675549633577,-0.02664890073284477,-0.11325782811459027
Alameda,California,2018,150.1,0.0,0.0,0.0,0.013324450366422385
Alameda,California,2019,150.1,,,,
Alameda,California,2020,150.1,,,,
Anthem,Arizona,2011,191.9,-0.010422094841063054,-0.020844189682126108,0.0,0.0
Anthem,Arizona,2012,191.9,0.0,0.0,-0.005211047420531527,-0.005211047420531527
Anthem,Arizona,2013,191.9,0.005211047420531527,-0.010422094841063054,-0.013027618551328817,-0.005211047420531527
Anthem,Arizona,2014,191.9,-0.005211047420531527,0.0,-0.01563314226159458,-0.05732152162584679
Anthem,Arizona,2015,191.9,0.005211047420531527,0.01563314226159458,0.020844189682126108,-0.005211047420531527
Anthem,Arizona,2016,191.9,0.005211047420531527,0.0781657113079729,-0.005211047420531527,-0.0026055237102657635
Anthem,Arizona,2017,191.9,-0.01563314226159458,0.0,0.0,0.0
Anthem,Arizona,2018,191.9,0.0,0.0,-0.00781657113079729,0.0
Anthem,Arizona,2019,191.9,,,,
Anthem,Arizona,2020,191.9,,,,
Apache Junction,Arizona,2011,201.7,-0.01983143282102132,-0.002478929102627665,0.00495785820525533,0.0
Apache Junction,Arizona,2012,201.7,0.0,0.00991571641051066,0.00495785820525533,-0.03718393653941497
Apache Junction,Arizona,2013,201.7,0.01487357461576599,0.00495785820525533,-0.007436787307882995,0.002478929102627665
Apache Junction,Arizona,2014,201.7,0.00991571641051066,0.02478929102627665,0.0,-0.01487357461576599
Apache Junction,Arizona,2015,201.7,0.00991571641051066,0.01487357461576599,0.01983143282102132,0.01487357461576599
Apache Junction,Arizona,2016,201.7,0.0,0.05949429846306396,-0.021484052222773095,-0.01983143282102132
Apache Junction,Arizona,2017,201.7,0.01487357461576599,0.02478929102627665,-0.007436787307882995,0.00495785820525533
Apache Junction,Arizona,2018,201.7,0.0,-0.012394645513138325,-0.03966286564204264,0.0
Apache Junction,Arizona,2019,201.7,,,,
Apache Junction,Arizona,2020,201.7,,,,
Bronx,New York,2011,148.5,0.026936026936026935,0.006734006734006734,0.020202020202020204,0.013468013468013467
Bronx,New York,2012,148.5,-0.006734006734006734,0.020202020202020204,0.04040404040404041,0.020202020202020204
Bronx,New York,2013,148.5,0.013468013468013467,0.006734006734006734,0.016835016835016835,0.0
Bronx,New York,2014,148.5,0.013468013468013467,0.0,-0.006734006734006734,-0.04040404040404041
Bronx,New York,2015,148.5,0.026936026936026935,0.006734006734006734,0.013468013468013467,0.0
Bronx,New York,2016,148.5,0.006734006734006734,0.006734006734006734,0.026936026936026935,-0.020202020202020204
Bronx,New York,2017,148.5,0.013468013468013467,0.05387205387205387,0.05387205387205387,0.05387205387205387
Bronx,New York,2018,148.5,0.0,0.020202020202020204,0.006734006734006734,0.1414141414141414
Bronx,New York,2019,148.5,,,,
Bronx,New York,2020,148.5,,,,
Buckeye,Arizona,2011,193.1,-0.018125323666494046,-0.002589331952356292,0.0,-0.015535991714137753
Buckeye,Arizona,2012,193.1,-0.03625064733298809,-0.020714655618850338,-0.01294665976178146,-0.010357327809425169
Buckeye,Arizona,2013,193.1,-0.007767995857068877,0.007767995857068877,0.005178663904712584,0.005178663904712584
Buckeye,Arizona,2014,193.1,0.010357327809425169,0.020714655618850338,-0.0336613153806318,-0.031071983428275506
Buckeye,Arizona,2015,193.1,0.015535991714137753,0.015535991714137753,0.020714655618850338,-0.005178663904712584
Buckeye,Arizona,2016,193.1,-0.015535991714137753,-0.005178663904712584,-0.041429311237700675,-0.031071983428275506
Buckeye,Arizona,2017,193.1,0.005178663904712584,-0.015535991714137753,-0.018125323666494046,-0.015535991714137753
Buckeye,Arizona,2018,193.1,-0.010357327809425169,-0.010357327809425169,-0.015535991714137753,-0.010357327809425169
Buckeye,Arizona,2019,193.1,,,,
Buckeye,Arizona,2020,193.1,,,,
Bullhead City,Arizona,2011,195.5,-0.01278772378516624,-0.005115089514066497,-0.005115089514066497,-0.005115089514066497
Bullhead City,Arizona,2012,195.5,0.010230179028132993,0.005115089514066497,0.0,0.005115089514066497
Bullhead City,Arizona,2013,195.5,0.0076726342710997444,0.043478260869565216,0.0,-0.010230179028132993
Bullhead City,Arizona,2014,195.5,-0.015345268542199489,-0.056265984654731455,-0.02557544757033248,-0.015345268542199489
Bullhead City,Arizona,2015,195.5,0.015345268542199489,0.010230179028132993,0.0,0.0
Bullhead City,Arizona,2016,195.5,0.005115089514066497,-0.017050298380221655,-0.015345268542199489,-0.015345268542199489
Bullhead City,Arizona,2017,195.5,-0.020460358056265986,-0.005115089514066497,-0.0025575447570332483,0.015345268542199489
Bullhead City,Arizona,2018,195.5,-0.01278772378516624,-0.020460358056265986,-0.015345268542199489,-0.005115089514066497
Bullhead City,Arizona,2019,195.5,,,,
Bullhead City,Arizona,2020,195.5,,,,
Calhoun,Florida,2011,181.1,0.005521811154058531,-0.005521811154058531,0.011043622308117063,-0.011043622308117063
Calhoun,Florida,2012,181.1,0.0,0.005521811154058531,-0.016565433462175594,0.005521811154058531
Calhoun,Florida,2013,181.1,0.0,-0.005521811154058531,-0.005521811154058531,0.0
Calhoun,Florida,2014,181.1,-0.011043622308117063,-0.011043622308117063,-0.11043622308117063,0.027609055770292656
Calhoun,Florida,2015,181.1,-0.011043622308117063,-0.005521811154058531,0.0,-0.011043622308117063
Calhoun,Florida,2016,181.1,-0.011043622308117063,0.005521811154058531,0.011043622308117063,0.0
Calhoun,Florida,2017,181.1,0.0,0.0,-0.005521811154058531,0.005521811154058531
Calhoun,Florida,2018,181.1,0.0,0.0,0.0,0.0
Calhoun,Florida,2019,181.1,,,,
Calhoun,Florida,2020,181.1,,,,
Casa Grande,Arizona,2011,195.3,-0.02816180235535074,-0.002560163850486431,0.0,-0.005120327700972862
Casa Grande,Arizona,2012,195.3,0.005120327700972862,0.005120327700972862,0.005120327700972862,0.005120327700972862
Casa Grande,Arizona,2013,195.3,0.0,0.0,-0.0076804915514592925,-0.010240655401945725
Casa Grande,Arizona,2014,195.3,-0.005120327700972862,-0.005120327700972862,-0.005120327700972862,0.0
Casa Grande,Arizona,2015,195.3,0.02048131080389145,0.010240655401945725,0.015360983102918585,-0.010240655401945725
Casa Grande,Arizona,2016,195.3,0.010240655401945725,-0.005120327700972862,-0.02816180235535074,-0.02048131080389145
Casa Grande,Arizona,2017,195.3,0.0,-0.010240655401945725,-0.010240655401945725,-0.015360983102918585
Casa Grande,Arizona,2018,195.3,0.0,-0.012800819252432155,-0.005120327700972862,-0.005120327700972862
Casa Grande,Arizona,2019,195.3,,,,
Casa Grande,Arizona,2020,195.3,,,,
Casas Adobes,Arizona,2011,185.0,0.010810810810810811,-0.005405405405405406,0.010810810810810811,-0.010810810810810811
Casas Adobes,Arizona,2012,185.0,0.005405405405405406,0.021621621621621623,0.016216216216216217,0.005405405405405406
Casas Adobes,Arizona,2013,185.0,-0.005405405405405406,-0.005405405405405406,0.0,-0.005405405405405406
Casas Adobes,Arizona,2014,185.0,0.010810810810810811,-0.005405405405405406,-0.005405405405405406,-0.005405405405405406
Casas Adobes,Arizona,2015,185.0,0.0,0.0,0.005405405405405406,0.0
Casas Adobes,Arizona,2016,185.0,-0.010810810810810811,0.021621621621621623,0.010810810810810811,0.05945945945945946
Casas Adobes,Arizona,2017,185.0,0.0,-0.005405405405405406,-0.010810810810810811,0.0
Casas Adobes,Arizona,2018,185.0,0.0,0.0,0.0,0.0
Casas Adobes,Arizona,2019,185.0,,,,
Casas Adobes,Arizona,2020,185.0,,,,
Catalina Foothills,Arizona,2011,184.2,0.010857763300760045,0.005428881650380022,-0.005428881650380022,-0.038002171552660155
Catalina Foothills,Arizona,2012,184.2,0.005428881650380022,0.02171552660152009,0.016286644951140065,0.005428881650380022
Catalina Foothills,Arizona,2013,184.2,0.005428881650380022,-0.005428881650380022,0.0,-0.005428881650380022
Catalina Foothills,Arizona,2014,184.2,0.005428881650380022,-0.010857763300760045,-0.016286644951140065,-0.010857763300760045
Catalina Foothills,Arizona,2015,184.2,-0.005428881650380022,0.0,0.048859934853420196,-0.005428881650380022
Catalina Foothills,Arizona,2016,184.2,-0.010857763300760045,0.02714440825190011,0.0,-0.07057546145494029
Catalina Foothills,Arizona,2017,184.2,0.0,-0.005428881650380022,-0.010857763300760045,0.0
Catalina Foothills,Arizona,2018,184.2,0.0,0.0,0.0,0.0
Catalina Foothills,Arizona,2019,184.2,,,,
Catalina Foothills,Arizona,2020,184.2,,,,
Chandler,Arizona,2011,194.7,-0.020544427324088343,-0.005136106831022086,-0.010272213662044172,-0.007704160246533128
Chandler,Arizona,2012,194.7,0.0,-0.005136106831022086,-0.005136106831022086,-0.0179763739085773
Chandler,Arizona,2013,194.7,0.0,-0.007704160246533128,-0.015408320493066256,0.0
Chandler,Arizona,2014,194.7,0.0,0.005136106831022086,-0.005136106831022086,-0.015408320493066256
Chandler,Arizona,2015,194.7,0.010272213662044172,0.015408320493066256,0.015408320493066256,-0.010272213662044172
Chandler,Arizona,2016,194.7,-0.015408320493066256,-0.02568053415511043,-0.0359527478171546,0.0
Chandler,Arizona,2017,194.7,-0.010272213662044172,-0.015408320493066256,-0.010272213662044172,-0.012840267077555215
Chandler,Arizona,2018,194.7,0.0,-0.010272213662044172,-0.02568053415511043,-0.010272213662044172
Chandler,Arizona,2019,194.7,,,,
Chandler,Arizona,2020,194.7,,,,
Contra Costa,California,2011,145.1,-0.05513439007580979,-0.02067539627842867,0.03445899379738112,0.013783597518952447
Contra Costa,California,2012,145.1,-0.02067539627842867,-0.02067539627842867,-0.013783597518952447,0.0
