City,State,Year,SeasonWidth,20%,40%,60%,80%
Alameda,California,2011,150.1,0.05329780146568954,-0.006662225183211193,0.13990672884743505,0.06662225183211193
Alameda,California,2012,150.1,0.019986675549633577,0.02664890073284477,0.019986675549633577,0.0
Alameda,California,2013,150.1,0.019986675549633577,0.006662225183211193,0.04663557628247835,0.02664890073284477
Alameda,California,2014,150.1,0.019986675549633577,0.019986675549633577,-0.006662225183211193,-0.019986675549633577
Alameda,California,2015,150.1,0.08660892738174551,0.0,-0.013324450366422385,-0.006662225183211193
Alameda,California,2016,150.1,0.019986675549633577,-0.033311125916055964,-0.04663557628247835,-0.019986675549633577
Alameda,California,2017,150.1,0.013324450366422385,0.006662225183211193,-0.006662225183211193,0.03664223850766156
Alameda,California,2018,150.1,0.0,0.0,0.0,0.013324450366422385
Alameda,California,2019,150.1,,,,
Alameda,California,2020,150.1,,,,
Anthem,Arizona,2011,191.9,-0.018238665971860343,-0.00781657113079729,0.0026055237102657635,0.0
Anthem,Arizona,2012,191.9,0.0,0.005211047420531527,-0.013027618551328817,-0.0017370158068438421
Anthem,Arizona,2013,191.9,0.0,-0.013027618551328817,-0.013027618551328817,-0.010422094841063054
Anthem,Arizona,2014,191.9,-0.010422094841063054,-0.010422094841063054,-0.010422094841063054,-0.04689942678478374
Anthem,Arizona,2015,191.9,0.0,0.0,-0.005211047420531527,0.005211047420531527
Anthem,Arizona,2016,191.9,0.01563314226159458,0.08337675872850443,0.0,-0.0026055237102657635
Anthem,Arizona,2017,191.9,-0.010422094841063054,0.005211047420531527,-0.005211047420531527,-0.01563314226159458
Anthem,Arizona,2018,191.9,0.0,0.0,-0.005211047420531527,0.0
Anthem,Arizona,2019,191.9,,,,
Anthem,Arizona,2020,191.9,,,,
Apache Junction,Arizona,2011,201.7,-0.00495785820525533,0.00495785820525533,0.00991571641051066,0.002478929102627665
Apache Junction,Arizona,2012,201.7,0.01487357461576599,0.00991571641051066,0.0,-0.03718393653941497
Apache Junction,Arizona,2013,201.7,-0.002478929102627665,0.00495785820525533,-0.002478929102627665,-0.00495785820525533
Apache Junction,Arizona,2014,201.7,0.00495785820525533,0.01487357461576599,0.0,-0.007436787307882995
Apache Junction,Arizona,2015,201.7,0.00495785820525533,0.00495785820525533,0.01487357461576599,0.00495785820525533
Apache Junction,Arizona,2016,201.7,0.0,0.06941001487357462,-0.01817881341926954,-0.00495785820525533
Apache Junction,Arizona,2017,201.7,0.00495785820525533,0.00495785820525533,-0.002478929102627665,0.0
Apache Junction,Arizona,2018,201.7,0.0,-0.007436787307882995,-0.04214179474467031,0.0
Apache Junction,Arizona,2019,201.7,,,,
Apache Junction,Arizona,2020,201.7,,,,
Bronx,New York,2011,148.5,-0.006734006734006734,0.020202020202020204,0.006734006734006734,0.013468013468013467
Bronx,New York,2012,148.5,-0.006734006734006734,0.006734006734006734,-0.006734006734006734,-0.006734006734006734
Bronx,New York,2013,148.5,0.0,-0.006734006734006734,0.026936026936026935,-0.010101010101010102
Bronx,New York,2014,148.5,0.006734006734006734,0.0,0.006734006734006734,-0.08080808080808081
Bronx,New York,2015,148.5,0.03367003367003367,0.006734006734006734,0.013468013468013467,0.026936026936026935
Bronx,New York,2016,148.5,0.006734006734006734,0.020202020202020204,0.026936026936026935,-0.006734006734006734
Bronx,New York,2017,148.5,-0.026936026936026935,0.04713804713804714,0.04040404040404041,0.04713804713804714
Bronx,New York,2018,148.5,0.0,0.013468013468013467,0.0,0.10101010101010101
Bronx,New York,2019,148.5,,,,
Bronx,New York,2020,148.5,,,,
Buckeye,Arizona,2011,193.1,-0.015535991714137753,-0.002589331952356292,0.0,-0.007767995857068877
Buckeye,Arizona,2012,193.1,-0.015535991714137753,-0.010357327809425169,0.0,-0.020714655618850338
Buckeye,Arizona,2013,193.1,-0.010357327809425169,0.005178663904712584,-0.002589331952356292,-0.002589331952356292
Buckeye,Arizona,2014,193.1,0.005178663904712584,0.020714655618850338,-0.028482651475919215,-0.031071983428275506
Buckeye,Arizona,2015,193.1,-0.005178663904712584,0.005178663904712584,0.015535991714137753,-0.015535991714137753
