City,State,Year,SeasonWidth,20%,40%,60%,80%
Alameda,California,2011,150.1,0.05329780146568954,0.05329780146568954,0.006662225183211193,-0.07328447701532312
Alameda,California,2012,150.1,-0.019986675549633577,-0.013324450366422385,0.039973351099267154,
Alameda,California,2013,150.1,0.07994670219853431,0.07994670219853431,0.04663557628247835,-0.02664890073284477
Alameda,California,2014,150.1,0.019986675549633577,0.06662225183211193,0.02664890073284477,-0.09993337774816789
Alameda,California,2015,150.1,0.11992005329780148,0.0932711525649567,0.06662225183211193,0.02664890073284477
Alameda,California,2016,150.1,0.0,0.0,-0.07328447701532312,-0.0932711525649567
Alameda,California,2017,150.1,-0.019986675549633577,-0.019986675549633577,-0.04663557628247835,-0.02664890073284477
Alameda,California,2018,150.1,0.033311125916055964,0.033311125916055964,0.039973351099267154,0.05329780146568954
Alameda,California,2019,150.1,,,,
Alameda,California,2020,150.1,,,,
Anthem,Arizona,2011,191.9,0.010422094841063054,0.0026055237102657635,0.0,-0.01563314226159458
Anthem,Arizona,2012,191.9,0.05732152162584679,0.020844189682126108,-0.0495049504950495,-0.01563314226159458
Anthem,Arizona,2013,191.9,0.06253256904637831,0.010422094841063054,0.0,-0.01563314226159458
Anthem,Arizona,2014,191.9,0.01563314226159458,-0.005211047420531527,-0.01563314226159458,0.0
Anthem,Arizona,2015,191.9,0.0,0.0,-0.026055237102657634,-0.01563314226159458
Anthem,Arizona,2016,191.9,-0.03126628452318916,-0.020844189682126108,-0.02344971339239187,-0.01563314226159458
Anthem,Arizona,2017,191.9,-0.010422094841063054,0.0,-0.005211047420531527,0.01563314226159458
Anthem,Arizona,2018,191.9,-0.03647733194372069,-0.026055237102657634,-0.013027618551328817,-0.005211047420531527
Anthem,Arizona,2019,191.9,,,,
Anthem,Arizona,2020,191.9,,,,
Apache Junction,Arizona,2011,201.7,0.00495785820525533,0.0,0.0,-0.00495785820525533
Apache Junction,Arizona,2012,201.7,0.00991571641051066,0.02478929102627665,0.00495785820525533,0.03966286564204264
