City,State,Year,SeasonWidth,20%,40%,60%,80%
Alameda,California,2011,150.1,,,,
Alameda,California,2012,150.1,,,,
Alameda,California,2013,150.1,,,,
Alameda,California,2014,150.1,,,,
Alameda,California,2015,150.1,,,,
Alameda,California,2016,150.1,,,,
Alameda,California,2017,150.1,,,,
Alameda,California,2018,150.1,,,,
Alameda,California,2019,150.1,,,,
Alameda,California,2020,150.1,,,,
Anthem,Arizona,2011,191.9,,,,
Anthem,Arizona,2012,191.9,,,,
Anthem,Arizona,2013,191.9,,,,
Anthem,Arizona,2014,191.9,,,,
Anthem,Arizona,2015,191.9,,,,
Anthem,Arizona,2016,191.9,,,,
Anthem,Arizona,2017,191.9,,,,
Anthem,Arizona,2018,191.9,,,,
Anthem,Arizona,2019,191.9,,,,
Anthem,Arizona,2020,191.9,,,,
Apache Junction,Arizona,2011,201.7,,,,
Apache Junction,Arizona,2012,201.7,,,,
Apache Junction,Arizona,2013,201.7,,,,
Apache Junction,Arizona,2014,201.7,,,,
Apache Junction,Arizona,2015,201.7,,,,
Apache Junction,Arizona,2016,201.7,,,,
Apache Junction,Arizona,2017,201.7,,,,
Apache Junction,Arizona,2018,201.7,,,,
Apache Junction,Arizona,2019,201.7,,,,
Apache Junction,Arizona,2020,201.7,,,,
Bronx,New York,2011,148.5,,,,
Bronx,New York,2012,148.5,,,,
Bronx,New York,2013,148.5,,,,
Bronx,New York,2014,148.5,,,,
Bronx,New York,2015,148.5,,,,
Bronx,New York,2016,148.5,,,,
Bronx,New York,2017,148.5,,,,
Bronx,New York,2018,148.5,,,,
Bronx,New York,2019,148.5,,,,
Bronx,New York,2020,148.5,,,,
Buckeye,Arizona,2011,193.1,,,,
Buckeye,Arizona,2012,193.1,,,,
Buckeye,Arizona,2013,193.1,,,,
Buckeye,Arizona,2014,193.1,,,,
Buckeye,Arizona,2015,193.1,,,,
Buckeye,Arizona,2016,193.1,,,,
Buckeye,Arizona,2017,193.1,,,,
Buckeye,Arizona,2018,193.1,,,,
Buckeye,Arizona,2019,193.1,,,,
Buckeye,Arizona,2020,193.1,,,,
Bullhead City,Arizona,2011,195.5,,,,
Bullhead City,Arizona,2012,195.5,,,,
Bullhead City,Arizona,2013,195.5,,,,
Bullhead City,Arizona,2014,195.5,,,,
Bullhead City,Arizona,2015,195.5,,,,
Bullhead City,Arizona,2016,195.5,,,,
Bullhead City,Arizona,2017,195.5,,,,
Bullhead City,Arizona,2018,195.5,,,,
Bullhead City,Arizona,2019,195.5,,,,
Bullhead City,Arizona,2020,195.5,,,,
Calhoun,Florida,2011,181.1,,,,
Calhoun,Florida,2012,181.1,,,,
Calhoun,Florida,2013,181.1,,,,
Calhoun,Florida,2014,181.1,,,,
Calhoun,Florida,2015,181.1,,,,
Calhoun,Florida,2016,181.1,,,,
Calhoun,Florida,2017,181.1,,,,
Calhoun,Florida,2018,181.1,,,,
Calhoun,Florida,2019,181.1,,,,
Calhoun,Florida,2020,181.1,,,,
Casa Grande,Arizona,2011,195.3,,,,
Casa Grande,Arizona,2012,195.3,,,,
Casa Grande,Arizona,2013,195.3,,,,
Casa Grande,Arizona,2014,195.3,,,,
Casa Grande,Arizona,2015,195.3,,,,
Casa Grande,Arizona,2016,195.3,,,,
Casa Grande,Arizona,2017,195.3,,,,
Casa Grande,Arizona,2018,195.3,,,,
Casa Grande,Arizona,2019,195.3,,,,
Casa Grande,Arizona,2020,195.3,,,,
Casas Adobes,Arizona,2011,185.0,,,,
Casas Adobes,Arizona,2012,185.0,,,,
Casas Adobes,Arizona,2013,185.0,,,,
Casas Adobes,Arizona,2014,185.0,,,,
Casas Adobes,Arizona,2015,185.0,,,,
Casas Adobes,Arizona,2016,185.0,,,,
Casas Adobes,Arizona,2017,185.0,,,,
Casas Adobes,Arizona,2018,185.0,,,,
Casas Adobes,Arizona,2019,185.0,,,,
Casas Adobes,Arizona,2020,185.0,,,,
Catalina Foothills,Arizona,2011,184.2,,,,
Catalina Foothills,Arizona,2012,184.2,,,,
Catalina Foothills,Arizona,2013,184.2,,,,
Catalina Foothills,Arizona,2014,184.2,,,,
Catalina Foothills,Arizona,2015,184.2,,,,
Catalina Foothills,Arizona,2016,184.2,,,,
Catalina Foothills,Arizona,2017,184.2,,,,
Catalina Foothills,Arizona,2018,184.2,,,,
Catalina Foothills,Arizona,2019,184.2,,,,
Catalina Foothills,Arizona,2020,184.2,,,,
Chandler,Arizona,2011,194.7,,,,
Chandler,Arizona,2012,194.7,,,,
Chandler,Arizona,2013,194.7,,,,
Chandler,Arizona,2014,194.7,,,,
Chandler,Arizona,2015,194.7,,,,
Chandler,Arizona,2016,194.7,,,,
Chandler,Arizona,2017,194.7,,,,
Chandler,Arizona,2018,194.7,,,,
Chandler,Arizona,2019,194.7,,,,
Chandler,Arizona,2020,194.7,,,,
Contra Costa,California,2011,145.1,,,,
Contra Costa,California,2012,145.1,,,,
Contra Costa,California,2013,145.1,,,,
Contra Costa,California,2014,145.1,,,,
Contra Costa,California,2015,145.1,,,,
Contra Costa,California,2016,145.1,,,,
Contra Costa,California,2017,145.1,,,,
Contra Costa,California,2018,145.1,,,,
Contra Costa,California,2019,145.1,,,,
Contra Costa,California,2020,145.1,,,,
Cumberland,New Jersey,2011,146.9,,,,
Cumberland,New Jersey,2012,146.9,,,,
Cumberland,New Jersey,2013,146.9,,,,
Cumberland,New Jersey,2014,146.9,,,,
Cumberland,New Jersey,2015,146.9,,,,
Cumberland,New Jersey,2016,146.9,,,,
Cumberland,New Jersey,2017,146.9,,,,
Cumberland,New Jersey,2018,146.9,,,,
Cumberland,New Jersey,2019,146.9,,,,
Cumberland,New Jersey,2020,146.9,,,,
Dane,Wisconsin,2011,136.2,,,,
Dane,Wisconsin,2012,136.2,,,,
Dane,Wisconsin,2013,136.2,,,,
Dane,Wisconsin,2014,136.2,,,,
Dane,Wisconsin,2015,136.2,,,,
Dane,Wisconsin,2016,136.2,,,,
Dane,Wisconsin,2017,136.2,,,,
Dane,Wisconsin,2018,136.2,,,,
Dane,Wisconsin,2019,136.2,,,,
Dane,Wisconsin,2020,136.2,,,,
Douglas,Arizona,2011,163.4,,,,
Douglas,Arizona,2012,163.4,,,,
Douglas,Arizona,2013,163.4,,,,
Douglas,Arizona,2014,163.4,,,,
Douglas,Arizona,2015,163.4,,,,
Douglas,Arizona,2016,163.4,,,,
Douglas,Arizona,2017,163.4,,,,
Douglas,Arizona,2018,163.4,,,,
Douglas,Arizona,2019,163.4,,,,
Douglas,Arizona,2020,163.4,,,,
Drexel Heights,Arizona,2011,186.3,,,,
Drexel Heights,Arizona,2012,186.3,,,,
Drexel Heights,Arizona,2013,186.3,,,,
Drexel Heights,Arizona,2014,186.3,,,,
Drexel Heights,Arizona,2015,186.3,,,,
Drexel Heights,Arizona,2016,186.3,,,,
Drexel Heights,Arizona,2017,186.3,,,,
Drexel Heights,Arizona,2018,186.3,,,,
Drexel Heights,Arizona,2019,186.3,,,,
Drexel Heights,Arizona,2020,186.3,,,,
El Mirage,Arizona,2011,205.1,,,,
El Mirage,Arizona,2012,205.1,,,,
El Mirage,Arizona,2013,205.1,,,,
El Mirage,Arizona,2014,205.1,,,,
El Mirage,Arizona,2015,205.1,,,,
El Mirage,Arizona,2016,205.1,,,,
El Mirage,Arizona,2017,205.1,,,,
El Mirage,Arizona,2018,205.1,,,,
El Mirage,Arizona,2019,205.1,,,,
El Mirage,Arizona,2020,205.1,,,,
Escambia,Florida,2011,178.5,,,,
Escambia,Florida,2012,178.5,,,,
Escambia,Florida,2013,178.5,,,,
Escambia,Florida,2014,178.5,,,,
Escambia,Florida,2015,178.5,,,,
Escambia,Florida,2016,178.5,,,,
Escambia,Florida,2017,178.5,,,,
Escambia,Florida,2018,178.5,,,,
Escambia,Florida,2019,178.5,,,,
Escambia,Florida,2020,178.5,,,,
Flagstaff,Arizona,2011,127.4,,,,
Flagstaff,Arizona,2012,127.4,,,,
Flagstaff,Arizona,2013,127.4,,,,
Flagstaff,Arizona,2014,127.4,,,,
Flagstaff,Arizona,2015,127.4,,,,
Flagstaff,Arizona,2016,127.4,,,,
Flagstaff,Arizona,2017,127.4,,,,
Flagstaff,Arizona,2018,127.4,,,,
Flagstaff,Arizona,2019,127.4,,,,
Flagstaff,Arizona,2020,127.4,,,,
Florence,Arizona,2011,196.2,,,,
Florence,Arizona,2012,196.2,,,,
Florence,Arizona,2013,196.2,,,,
Florence,Arizona,2014,196.2,,,,
Florence,Arizona,2015,196.2,,,,
Florence,Arizona,2016,196.2,,,,
Florence,Arizona,2017,196.2,,,,
Florence,Arizona,2018,196.2,,,,
Florence,Arizona,2019,196.2,,,,
Florence,Arizona,2020,196.2,,,,
Flowing Wells,Arizona,2011,185.8,,,,
Flowing Wells,Arizona,2012,185.8,,,,
Flowing Wells,Arizona,2013,185.8,,,,
Flowing Wells,Arizona,2014,185.8,,,,
Flowing Wells,Arizona,2015,185.8,,,,
Flowing Wells,Arizona,2016,185.8,,,,
Flowing Wells,Arizona,2017,185.8,,,,
Flowing Wells,Arizona,2018,185.8,,,,
Flowing Wells,Arizona,2019,185.8,,,,
Flowing Wells,Arizona,2020,185.8,,,,
Fountain Hills,Arizona,2011,203.1,,,,
Fountain Hills,Arizona,2012,203.1,,,,
Fountain Hills,Arizona,2013,203.1,,,,
Fountain Hills,Arizona,2014,203.1,,,,
Fountain Hills,Arizona,2015,203.1,,,,
Fountain Hills,Arizona,2016,203.1,,,,
Fountain Hills,Arizona,2017,203.1,,,,
Fountain Hills,Arizona,2018,203.1,,,,
Fountain Hills,Arizona,2019,203.1,,,,
Fountain Hills,Arizona,2020,203.1,,,,
Fresno,California,2011,168.1,,,,
Fresno,California,2012,168.1,,,,
Fresno,California,2013,168.1,,,,
Fresno,California,2014,168.1,,,,
Fresno,California,2015,168.1,,,,
Fresno,California,2016,168.1,,,,
Fresno,California,2017,168.1,,,,
Fresno,California,2018,168.1,,,,
Fresno,California,2019,168.1,,,,
Fresno,California,2020,168.1,,,,
Gadsden,Florida,2011,182.4,,,,
Gadsden,Florida,2012,182.4,,,,
Gadsden,Florida,2013,182.4,,,,
Gadsden,Florida,2014,182.4,,,,
Gadsden,Florida,2015,182.4,,,,
Gadsden,Florida,2016,182.4,,,,
Gadsden,Florida,2017,182.4,,,,
Gadsden,Florida,2018,182.4,,,,
Gadsden,Florida,2019,182.4,,,,
