City,State,Year,SeasonWidth,20%,40%,60%,80%
Alameda,California,2011,150.1,-0.3264490339773484,,,
Alameda,California,2012,150.1,-0.4397068620919387,-0.4463690872751499,,
Alameda,California,2013,150.1,,,,
Alameda,California,2014,150.1,,,,
Alameda,California,2015,150.1,,,,
Alameda,California,2016,150.1,,,,
Alameda,California,2017,150.1,-0.5463024650233178,,,
Alameda,California,2018,150.1,-0.02664890073284477,-0.02664890073284477,-0.2931379080612925,
Alameda,California,2019,150.1,,,,
Alameda,California,2020,150.1,,,,
Anthem,Arizona,2011,191.9,-0.026055237102657634,-0.11464304325169358,0.16154247003647731,
Anthem,Arizona,2012,191.9,-0.25013027618551326,-0.25013027618551326,0.08337675872850443,-0.13288170922355394
Anthem,Arizona,2013,191.9,0.11464304325169358,-0.12506513809275663,0.01563314226159458,
Anthem,Arizona,2014,191.9,-0.20323084940072955,-0.19280875455966648,-0.16675351745700887,-0.10422094841063054
Anthem,Arizona,2015,191.9,-0.11464304325169358,-0.11464304325169358,-0.3126628452318916,
Anthem,Arizona,2016,191.9,-0.33871808233454925,-0.38040646169880143,0.14069828035435122,
Anthem,Arizona,2017,191.9,-0.22407503908285564,-0.2344971339239187,0.005211047420531527,
Anthem,Arizona,2018,191.9,-0.2136529442417926,-0.2136529442417926,0.10422094841063054,
Anthem,Arizona,2019,191.9,,,,
Anthem,Arizona,2020,191.9,,,,
Apache Junction,Arizona,2011,201.7,0.0,-0.03470500743678731,-0.10411502231036193,
Apache Junction,Arizona,2012,201.7,-0.13386217154189392,-0.17848289538919188,0.1487357461576599,0.17352503718393655
Apache Junction,Arizona,2013,201.7,-0.18839861179970255,0.16856717897868123,-0.19335647000495787,
Apache Junction,Arizona,2014,201.7,-0.2131879028259792,-0.2627664848785325,-0.26772434308378784,-0.14129895884977692
Apache Junction,Arizona,2015,201.7,-0.12394645513138325,-0.13882002974714924,-0.4313336638572137,
Apache Junction,Arizona,2016,201.7,-0.25780862667327714,0.08428358948934062,0.00495785820525533,
Apache Junction,Arizona,2017,201.7,-0.15369360436291524,-0.2330193356470005,-0.19583539910758554,
Apache Junction,Arizona,2018,201.7,-0.10411502231036193,-0.19335647000495787,-0.19335647000495787,-0.28259791769955384
Apache Junction,Arizona,2019,201.7,,,,
Apache Junction,Arizona,2020,201.7,,,,
Bronx,New York,2011,148.5,0.1750841750841751,0.11447811447811448,0.13468013468013468,0.15488215488215487
Bronx,New York,2012,148.5,0.04713804713804714,0.020202020202020204,-0.013468013468013467,0.0
Bronx,New York,2013,148.5,-0.12121212121212122,-0.09427609427609428,-0.06060606060606061,0.013468013468013467
Bronx,New York,2014,148.5,-0.04713804713804714,-0.04713804713804714,-0.026936026936026935,0.0
Bronx,New York,2015,148.5,-0.07407407407407407,-0.06060606060606061,-0.05387205387205387,-0.006734006734006734
Bronx,New York,2016,148.5,0.0,0.026936026936026935,0.03367003367003367,0.06060606060606061
Bronx,New York,2017,148.5,-0.006734006734006734,-0.006734006734006734,-0.006734006734006734,-0.006734006734006734
Bronx,New York,2018,148.5,0.03367003367003367,-0.03367003367003367,-0.026936026936026935,0.0
Bronx,New York,2019,148.5,,,,
Bronx,New York,2020,148.5,,,,
Buckeye,Arizona,2011,193.1,0.0,0.0,-0.04660797514241326,-0.15018125323666495
Buckeye,Arizona,2012,193.1,-0.23821853961677888,-0.22786121180735372,-0.3158984981874676,-0.32107716209218023
Buckeye,Arizona,2013,193.1,-0.22268254790264114,-0.18125323666494045,-0.21232522009321594,-0.18643190056965303
Buckeye,Arizona,2014,193.1,-0.18125323666494045,-0.17089590885551528,-0.20714655618850336,-0.1294665976178146
Buckeye,Arizona,2015,193.1,-0.05696530295183843,-0.0673226307612636,-0.08285862247540135,0.007767995857068877
Buckeye,Arizona,2016,193.1,-0.22786121180735372,0.08803728638011393,0.02589331952356292,-0.3832211289487312
Buckeye,Arizona,2017,193.1,-0.0673226307612636,-0.11393060590367686,0.11910926980838944,0.1294665976178146
Buckeye,Arizona,2018,193.1,-0.10357327809425168,-0.18643190056965303,-0.1916105644743656,-0.18643190056965303
Buckeye,Arizona,2019,193.1,,,,
Buckeye,Arizona,2020,193.1,,,,
Bullhead City,Arizona,2011,195.5,0.0,0.0,-0.030690537084398978,0.3938618925831202
Bullhead City,Arizona,2012,195.5,-0.2915601023017903,-0.2864450127877238,-0.27621483375959077,-0.22506393861892582
