City,State,Year,SeasonWidth,20%,40%,60%,80%
Alameda,California,2011,150.1,0.07994670219853431,0.06662225183211193,0.02664890073284477,0.04663557628247835
Alameda,California,2012,150.1,0.02664890073284477,0.006662225183211193,0.05996002664890074,-0.039973351099267154
Alameda,California,2013,150.1,-0.013324450366422385,-0.006662225183211193,-0.033311125916055964,-0.04663557628247835
Alameda,California,2014,150.1,-0.02664890073284477,0.006662225183211193,-0.039973351099267154,-0.12658227848101267
Alameda,California,2015,150.1,0.07994670219853431,0.06662225183211193,0.04663557628247835,0.019986675549633577
Alameda,California,2016,150.1,0.07328447701532312,0.02664890073284477,-0.04663557628247835,-0.0932711525649567
Alameda,California,2017,150.1,-0.033311125916055964,-0.033311125916055964,-0.05329780146568954,-0.21652231845436376
Alameda,California,2018,150.1,0.006662225183211193,-0.013324450366422385,0.0,0.013324450366422385
Alameda,California,2019,150.1,,,,
Alameda,California,2020,150.1,,,,
Anthem,Arizona,2011,191.9,0.0,0.013027618551328817,0.00781657113079729,0.0
Anthem,Arizona,2012,191.9,0.010422094841063054,0.026055237102657634,0.005211047420531527,-0.010422094841063054
Anthem,Arizona,2013,191.9,0.01563314226159458,0.0026055237102657635,-0.00781657113079729,-0.01563314226159458
Anthem,Arizona,2014,191.9,0.026055237102657634,0.03126628452318916,-0.01563314226159458,0.00781657113079729
Anthem,Arizona,2015,191.9,0.01563314226159458,0.010422094841063054,-0.03647733194372069,-0.028660760812923396
Anthem,Arizona,2016,191.9,-0.010422094841063054,-0.026055237102657634,-0.01563314226159458,-0.010422094841063054
Anthem,Arizona,2017,191.9,0.005211047420531527,0.005211047420531527,-0.005211047420531527,-0.01563314226159458
Anthem,Arizona,2018,191.9,-0.03647733194372069,-0.03126628452318916,-0.026055237102657634,-0.041688379364252216
Anthem,Arizona,2019,191.9,,,,
Anthem,Arizona,2020,191.9,,,,
Apache Junction,Arizona,2011,201.7,0.00991571641051066,0.007436787307882995,0.007436787307882995,-0.002478929102627665
Apache Junction,Arizona,2012,201.7,0.03470500743678731,0.02974714923153198,0.0495785820525533,0.06445215666831929
Apache Junction,Arizona,2013,201.7,-0.012394645513138325,-0.022310361923648984,-0.03470500743678731,-0.00991571641051066
Apache Junction,Arizona,2014,201.7,-0.01983143282102132,-0.01983143282102132,-0.09419930589985127,-0.02974714923153198
Apache Junction,Arizona,2015,201.7,0.0,-0.02478929102627665,-0.02974714923153198,-0.02974714923153198
Apache Junction,Arizona,2016,201.7,-0.00991571641051066,-0.00495785820525533,0.008263097008758883,-0.02974714923153198
