City,State,Year,SeasonWidth,20%,40%,60%,80%
Avondale,Arizona,2011,165.5,0,0,,
Avondale,Arizona,2012,165.5,-0.027190332,-0.024169184,-0.006042296,0.012084592
Avondale,Arizona,2013,165.5,0.048338369,0.006042296,,
Avondale,Arizona,2014,165.5,0.048338369,-0.066465257,-0.471299094,
Avondale,Arizona,2015,165.5,-0.024169184,-0.108761329,-0.078549849,
Avondale,Arizona,2016,165.5,-0.099697885,-0.054380665,,
Avondale,Arizona,2017,165.5,0.090634441,-0.03021148,-0.012084592,
Avondale,Arizona,2018,165.5,-0.072507553,-0.078549849,,
Avondale,Arizona,2019,165.5,0.03021148,-0.039274924,0.054380665,0.682779456
Avondale,Arizona,2020,165.5,-0.01510574,-0.114803625,-0.114803625,
Butte,California,2011,115.6,0.060553633,0.077854671,0.043252595,0.034602076
Butte,California,2012,115.6,0,0.008650519,0.112456747,
Butte,California,2013,115.6,0.077854671,0.034602076,0,0.043252595
Butte,California,2014,115.6,0.034602076,0,-0.017301038,-0.164359862
Butte,California,2015,115.6,0.173010381,0.190311419,0.017301038,
Butte,California,2016,115.6,-0.051903114,-0.025951557,-0.025951557,-0.224913495
Butte,California,2017,115.6,-0.034602076,-0.008650519,-0.103806228,-0.138408304
Butte,California,2018,115.6,0.077854671,0.008650519,-0.060553633,-0.069204152
Butte,California,2019,115.6,0.025951557,0.077854671,0.051903114,
Butte,California,2020,115.6,0.363321799,0.121107266,0.060553633,-0.025951557
Cameron,Texas,2011,214.7,0,0,0,-0.046576619
Cameron,Texas,2012,214.7,0.009315324,-0.079180252,-0.079180252,
Cameron,Texas,2013,214.7,-0.046576619,-0.05123428,-0.069864928,
Cameron,Texas,2014,214.7,0.023288309,-0.023288309,,
Cameron,Texas,2015,214.7,-0.009315324,-0.023288309,-0.088495575,
Cameron,Texas,2016,214.7,-0.023288309,-0.004657662,-0.060549604,
Cameron,Texas,2017,214.7,-0.018630647,-0.037261295,-0.07452259,
Cameron,Texas,2018,214.7,0.018630647,0.023288309,0.013972986,
Cameron,Texas,2019,214.7,-0.023288309,-0.15137401,-0.435491383,
Cameron,Texas,2020,214.7,-0.07452259,-0.018630647,-0.027945971,-0.009315324
Collier,Florida,2011,276.6,0,0,0,0.010845987
Collier,Florida,2012,276.6,-0.075921909,-0.010845987,-0.012653651,0
Collier,Florida,2013,276.6,-0.007230658,-0.007230658,-0.021691974,-0.03615329
Collier,Florida,2014,276.6,-0.03615329,-0.025307303,-0.025307303,-0.007230658
Collier,Florida,2015,276.6,-0.025307303,-0.021691974,-0.021691974,-0.057845264
Collier,Florida,2016,276.6,0.010845987,-0.003615329,-0.014461316,-0.021691974
Collier,Florida,2017,276.6,-0.025307303,-0.007230658,-0.061460593,-0.231381056
Collier,Florida,2018,276.6,-0.009038322,-0.003615329,-0.019884309,-0.018076645
Collier,Florida,2019,276.6,0.028922632,-0.083152567,-0.028922632,-0.104844541
Collier,Florida,2020,276.6,-0.007230658,-0.023499638,-0.025307303,
Colusa,California,2011,117.7,0,0.008496177,0,-0.067969414
Colusa,California,2012,117.7,0.02548853,0.05097706,0.05097706,
Colusa,California,2013,117.7,0.110450297,-0.033984707,-0.016992353,-0.067969414
Colusa,California,2014,117.7,-0.016992353,-0.033984707,-0.02548853,-0.042480884
Colusa,California,2015,117.7,0.093457944,0.152931181,0.152931181,0.042480884
Colusa,California,2016,117.7,-0.008496177,0.008496177,-0.016992353,-0.033984707
Colusa,California,2017,117.7,0.135938828,0.042480884,-0.101954121,
Colusa,California,2018,117.7,0.084961767,0.110450297,-0.046728972,-0.093457944
Colusa,California,2019,117.7,0.203908241,0.178419711,0.110450297,
Colusa,California,2020,117.7,0.203908241,-0.008496177,-0.042480884,
Eloy,Arizona,2011,160.7,0,0,,
Eloy,Arizona,2012,160.7,-0.164903547,-0.208462974,-0.006222775,0.332918482
Eloy,Arizona,2013,160.7,0.031113877,-0.192906036,,
Eloy,Arizona,2014,160.7,-0.08089608,-0.354698195,-0.404480398,
Eloy,Arizona,2015,160.7,-0.17423771,-0.379589297,-0.404480398,
Eloy,Arizona,2016,160.7,-0.08089608,-0.143123833,,
Eloy,Arizona,2017,160.7,-0.074673304,-0.292470442,-0.286247666,-0.280024891
Eloy,Arizona,2018,160.7,0.006222775,-0.560049782,,
Eloy,Arizona,2019,160.7,0,0,-0.043559428,
Eloy,Arizona,2020,160.7,0.112009956,-0.192906036,-0.118232732,
Essex,New Jersey,2011,92.8,0.183189655,0.064655172,0.086206897,0.107758621
Essex,New Jersey,2012,92.8,0.05387931,0,0.043103448,0.021551724
Essex,New Jersey,2013,92.8,0.107758621,0,0.05387931,0.021551724
Essex,New Jersey,2014,92.8,0.021551724,0.043103448,0.075431034,0.010775862
Essex,New Jersey,2015,92.8,0.064655172,0.043103448,0.064655172,0.064655172
Essex,New Jersey,2016,92.8,0.237068966,0.204741379,0.107758621,0.075431034
Essex,New Jersey,2017,92.8,0.129310345,0.129310345,0.118534483,0.118534483
Essex,New Jersey,2018,92.8,0.183189655,-0.010775862,0.05387931,-0.096982759
Essex,New Jersey,2019,92.8,0.280172414,-0.021551724,0.032327586,-0.032327586
Essex,New Jersey,2020,92.8,0.107758621,0.032327586,-0.043103448,-0.021551724
Fairfield,Connecticut,2011,86.1,0,0.058072009,0.104529617,0.046457607
Fairfield,Connecticut,2012,86.1,0.058072009,-0.011614402,-0.011614402,0
Fairfield,Connecticut,2013,86.1,0.12775842,0.069686411,0.081300813,0.011614402
Fairfield,Connecticut,2014,86.1,0.197444832,0.18583043,0.058072009,0.069686411
Fairfield,Connecticut,2015,86.1,0.069686411,0.046457607,-0.011614402,0.058072009
Fairfield,Connecticut,2016,86.1,0.220673635,0.174216028,0.116144019,0.046457607
Fairfield,Connecticut,2017,86.1,-0.023228804,0,0.011614402,-0.092915215
Fairfield,Connecticut,2018,86.1,0.058072009,0.092915215,0.023228804,-0.12775842
Fairfield,Connecticut,2019,86.1,0.348432056,0.360046458,0.034843206,-0.046457607
Fairfield,Connecticut,2020,86.1,0.150987224,0.069686411,0.081300813,0.034843206
Forsyth,North Carolina,2011,106.4,0.112781955,0.169172932,0.22556391,0.234962406
Forsyth,North Carolina,2012,106.4,0.046992481,-0.028195489,0.018796992,-0.046992481
Forsyth,North Carolina,2013,106.4,0.056390977,0.046992481,0,-0.159774436
Forsyth,North Carolina,2014,106.4,0.187969925,0.140977444,0.140977444,0.103383459
Forsyth,North Carolina,2015,106.4,0.009398496,0.037593985,0.018796992,0.046992481
Forsyth,North Carolina,2016,106.4,0.112781955,0.093984962,-0.056390977,0.018796992
Forsyth,North Carolina,2017,106.4,0.159774436,0.178571429,0.169172932,0.131578947
Forsyth,North Carolina,2018,106.4,0.084586466,0.103383459,0.140977444,0.140977444
Forsyth,North Carolina,2019,106.4,0.122180451,-0.07518797,-0.112781955,-0.028195489
Forsyth,North Carolina,2020,106.4,0.206766917,0.178571429,0.187969925,0.169172932
Fortuna Foothills,Arizona,2011,176.2,-0.173098751,0,0,-0.005675369
Fortuna Foothills,Arizona,2012,176.2,0.15323496,0.147559591,0.022701476,0.017026107
Fortuna Foothills,Arizona,2013,176.2,0.045402951,0.011350738,,
Fortuna Foothills,Arizona,2014,176.2,0.068104427,0.096481271,0.090805902,
Fortuna Foothills,Arizona,2015,176.2,0.022701476,-0.031214529,0.241203178,
Fortuna Foothills,Arizona,2016,176.2,-0.017026107,0.079455165,-0.022701476,-0.045402951
Fortuna Foothills,Arizona,2017,176.2,0.045402951,-0.031214529,-0.028376844,
Fortuna Foothills,Arizona,2018,176.2,-0.045402951,0.062429058,0.068104427,0.068104427
Fortuna Foothills,Arizona,2019,176.2,-0.133371169,0.05107832,0.05107832,0.073779796
Fortuna Foothills,Arizona,2020,176.2,0.104994325,0.261066969,0.130533485,0.147559591
Jackson,Florida,2011,141.2,0,0,0.007082153,
Jackson,Florida,2012,141.2,-0.007082153,-0.021246459,-0.177053824,
Jackson,Florida,2013,141.2,-0.014164306,0,-0.063739377,-0.120396601
Jackson,Florida,2014,141.2,0.056657224,-0.021246459,-0.014164306,-0.007082153
Jackson,Florida,2015,141.2,0.035410765,-0.042492918,-0.113314448,
Jackson,Florida,2016,141.2,-0.049575071,0,-0.049575071,-0.028328612
Jackson,Florida,2017,141.2,-0.021246459,-0.07082153,-0.035410765,-0.035410765
Jackson,Florida,2018,141.2,-0.035410765,-0.007082153,-0.042492918,
Jackson,Florida,2019,141.2,0.014164306,-0.063739377,-0.162889518,
Jackson,Florida,2020,141.2,0.127478754,-0.028328612,-0.007082153,0
Marana,Arizona,2011,156.6,0,0,,
Marana,Arizona,2012,156.6,0.057471264,-0.127713921,0.268199234,0.197956577
Marana,Arizona,2013,156.6,-0.083014049,-0.134099617,-0.517241379,
Marana,Arizona,2014,156.6,-0.044699872,-0.229885057,-0.351213282,
Marana,Arizona,2015,156.6,-0.06385696,-0.217113665,-0.363984674,-0.376756066
Marana,Arizona,2016,156.6,-0.025542784,-0.121328225,,
Marana,Arizona,2017,156.6,-0.019157088,-0.095785441,-0.255427842,-0.114942529
Marana,Arizona,2018,156.6,0.051085568,-0.504469987,-0.574712644,
Marana,Arizona,2019,156.6,0.044699872,0.051085568,-0.089399745,
Marana,Arizona,2020,156.6,0.108556833,-0.159642401,-0.638569604,-0.146871009
Maricopa,Arizona,2011,159.2,0,0,,
Maricopa,Arizona,2012,159.2,-0.040829146,-0.018844221,-0.018844221,
Maricopa,Arizona,2013,159.2,0.043969849,-0.207286432,,
Maricopa,Arizona,2014,159.2,-0.23241206,-0.433417085,-0.458542714,
Maricopa,Arizona,2015,159.2,-0.23241206,-0.06281407,-0.094221106,
Maricopa,Arizona,2016,159.2,-0.147613065,-0.157035176,,
Maricopa,Arizona,2017,159.2,-0.087939698,-0.33919598,0.018844221,-0.100502513
Maricopa,Arizona,2018,159.2,-0.157035176,-0.188442211,,
