City,State,Year,SeasonWidth,20%,40%,60%,80%
Avondale,Arizona,2011,165.5,0.006042296072507553,0.08459214501510574,0.1510574018126888,
Avondale,Arizona,2012,165.5,0.027190332326283987,0.006042296072507553,0.006042296072507553,0.006042296072507553
Avondale,Arizona,2013,165.5,-0.01812688821752266,0.030211480362537766,0.18731117824773413,
Avondale,Arizona,2014,165.5,-0.04229607250755287,0.01812688821752266,0.06042296072507553,
Avondale,Arizona,2015,165.5,-0.03625377643504532,0.006042296072507553,0.04833836858006042,
Avondale,Arizona,2016,165.5,0.09063444108761329,0.07854984894259819,0.054380664652567974,
Avondale,Arizona,2017,165.5,0.0,0.02416918429003021,0.12386706948640483,
Avondale,Arizona,2018,165.5,0.021148036253776436,-0.00906344410876133,-0.0030211480362537764,0.04229607250755287
Avondale,Arizona,2019,165.5,0.10876132930513595,0.1027190332326284,-0.006042296072507553,0.7190332326283988
Avondale,Arizona,2020,165.5,0.01812688821752266,0.06042296072507553,,
Butte,California,2011,115.6,-0.00865051903114187,0.09515570934256055,-0.01730103806228374,0.11245674740484429
Butte,California,2012,115.6,-0.06920415224913495,0.00865051903114187,-0.030276816608996542,
Butte,California,2013,115.6,0.01730103806228374,0.00865051903114187,-0.07785467128027682,0.03460207612456748
Butte,California,2014,115.6,-0.043252595155709346,-0.025951557093425608,-0.043252595155709346,0.025951557093425608
Butte,California,2015,115.6,-0.00865051903114187,-0.01730103806228374,-0.051903114186851215,0.09515570934256055
Butte,California,2016,115.6,0.06920415224913495,-0.025951557093425608,-0.060553633217993084,-0.08650519031141869
Butte,California,2017,115.6,-0.00865051903114187,0.00865051903114187,-0.01730103806228374,
Butte,California,2018,115.6,-0.08650519031141869,-0.043252595155709346,-0.004325259515570935,0.15570934256055363
Butte,California,2019,115.6,0.14705882352941177,0.03460207612456748,0.21626297577854672,
Butte,California,2020,115.6,0.00865051903114187,-0.025951557093425608,0.060553633217993084,
Cameron,Texas,2011,214.7,-0.02328830926874709,-0.013972985561248255,-0.004657661853749418,
Cameron,Texas,2012,214.7,0.037261294829995344,0.40521658127619936,0.07918025151374011,
Cameron,Texas,2013,214.7,-0.05589194224499302,-0.013972985561248255,0.4750815090824406,
Cameron,Texas,2014,214.7,0.013972985561248255,0.5402887750349324,0.06986492780624128,
Cameron,Texas,2015,214.7,-0.004657661853749418,0.0,0.09315323707498836,
Cameron,Texas,2016,214.7,0.0,0.37727061015370283,,
Cameron,Texas,2017,214.7,0.10712622263623661,0.37727061015370283,0.2841173730787145,0.032603632976245925
Cameron,Texas,2018,214.7,0.009315323707498836,0.08383791336748952,0.46110852352119236,0.1304145319049837
Cameron,Texas,2019,214.7,-0.02328830926874709,-0.011644154634373545,,
Cameron,Texas,2020,214.7,0.04191895668374476,0.5449464368886819,0.2282254308337215,
Collier,Florida,2011,276.6,0.0,-0.0036153289949385392,0.018076644974692694,0.0
