City,State,Year,SeasonWidth,20%,40%,60%,80%
Avondale,Arizona,2011,165.5,0.0,0.0,0.0,
Avondale,Arizona,2012,165.5,-0.015105740181268883,-0.006042296072507553,-0.006042296072507553,0.0
Avondale,Arizona,2013,165.5,0.06042296072507553,-0.012084592145015106,-0.08459214501510574,
Avondale,Arizona,2014,165.5,0.03625377643504532,-0.03625377643504532,-0.5438066465256798,
Avondale,Arizona,2015,165.5,0.006042296072507553,-0.09365558912386707,-0.054380664652567974,
Avondale,Arizona,2016,165.5,-0.08761329305135952,-0.02416918429003021,-0.1148036253776435,
Avondale,Arizona,2017,165.5,0.01812688821752266,-0.012084592145015106,-0.09063444108761329,
Avondale,Arizona,2018,165.5,-0.16314199395770393,-0.09063444108761329,-0.09063444108761329,0.030211480362537766
Avondale,Arizona,2019,165.5,0.006042296072507553,-0.0755287009063444,0.030211480362537766,0.6525679758308157
Avondale,Arizona,2020,165.5,-0.01812688821752266,-0.09667673716012085,,
Butte,California,2011,115.6,0.025951557093425608,0.043252595155709346,0.00865051903114187,-0.09515570934256055
Butte,California,2012,115.6,0.025951557093425608,-0.060553633217993084,-0.021626297577854673,
Butte,California,2013,115.6,0.1903114186851211,0.00865051903114187,0.025951557093425608,0.03460207612456748
Butte,California,2014,115.6,0.051903114186851215,0.08650519031141869,0.051903114186851215,0.060553633217993084
Butte,California,2015,115.6,0.07785467128027682,0.15570934256055363,0.0,-0.21626297577854672
Butte,California,2016,115.6,-0.043252595155709346,-0.025951557093425608,-0.051903114186851215,-0.01730103806228374
Butte,California,2017,115.6,0.051903114186851215,0.0,-0.11245674740484429,
Butte,California,2018,115.6,0.051903114186851215,0.07785467128027682,-0.00865051903114187,0.0
Butte,California,2019,115.6,-0.03460207612456748,-0.043252595155709346,0.0,
Butte,California,2020,115.6,0.1903114186851211,0.18166089965397925,0.18166089965397925,
Cameron,Texas,2011,214.7,0.0,0.0,0.0,
Cameron,Texas,2012,214.7,0.06986492780624128,0.032603632976245925,-0.018630647414997672,
Cameron,Texas,2013,214.7,-0.04657661853749418,-0.02794597112249651,-0.02328830926874709,
Cameron,Texas,2014,214.7,0.06986492780624128,-0.004657661853749418,-0.06520726595249185,
Cameron,Texas,2015,214.7,-0.037261294829995344,-0.02328830926874709,-0.06986492780624128,
Cameron,Texas,2016,214.7,-0.02328830926874709,-0.004657661853749418,,
Cameron,Texas,2017,214.7,-0.004657661853749418,-0.02328830926874709,-0.06520726595249185,-0.06054960409874244
Cameron,Texas,2018,214.7,0.032603632976245925,0.018630647414997672,0.009315323707498836,-0.004657661853749418
Cameron,Texas,2019,214.7,-0.004657661853749418,-0.016301816488122962,,
Cameron,Texas,2020,214.7,-0.04191895668374476,-0.07452258965999069,-0.04191895668374476,
Collier,Florida,2011,276.6,0.0,0.0,0.0,0.03253796095444685
Collier,Florida,2012,276.6,-0.028922631959508314,-0.0072306579898770785,-0.031332851289467334,-0.025307302964569775
Collier,Florida,2013,276.6,0.021691973969631236,-0.014461315979754157,-0.03796095444685466,
Collier,Florida,2014,276.6,0.014461315979754157,-0.028922631959508314,-0.30007230657989875,-0.1120751988430947
Collier,Florida,2015,276.6,0.10484454085321764,-0.014461315979754157,-0.24584237165582065,-0.10845986984815617
Collier,Florida,2016,276.6,0.08676789587852494,0.014461315979754157,0.010845986984815618,
Collier,Florida,2017,276.6,-0.021691973969631236,-0.028922631959508314,-0.3036876355748373,-0.15545914678235717
Collier,Florida,2018,276.6,-0.005422993492407809,-0.0072306579898770785,-0.025307302964569775,-0.03615328994938539
Collier,Florida,2019,276.6,0.03976861894432393,-0.09761388286334055,-0.2892263195950831,-0.1482284887924801
Collier,Florida,2020,276.6,-0.010845986984815618,0.0036153289949385392,-0.0072306579898770785,
Colusa,California,2011,117.7,-0.008496176720475786,-0.1274426508071368,,
Colusa,California,2012,117.7,0.05097706032285471,0.04248088360237893,-0.016992353440951572,
Colusa,California,2013,117.7,0.1274426508071368,0.1274426508071368,-0.05097706032285471,-0.06796941376380629
Colusa,California,2014,117.7,0.016992353440951572,0.025488530161427356,0.008496176720475786,0.025488530161427356
Colusa,California,2015,117.7,0.08496176720475786,0.11045029736618521,0.16142735768903993,0.04248088360237893
Colusa,California,2016,117.7,0.016992353440951572,0.025488530161427356,0.025488530161427356,0.0
Colusa,California,2017,117.7,0.08496176720475786,0.05097706032285471,-0.025488530161427356,
Colusa,California,2018,117.7,0.06796941376380629,0.08496176720475786,0.05097706032285471,
Colusa,California,2019,117.7,0.11045029736618521,0.04248088360237893,0.025488530161427356,
Colusa,California,2020,117.7,0.10195412064570943,0.0594732370433305,-0.118946474086661,
Eloy,Arizona,2011,160.7,0.0,0.0,0.0,
Eloy,Arizona,2012,160.7,-0.23646546359676418,-0.031113876789047916,-0.024891101431238336,0.14934660858743
Eloy,Arizona,2013,160.7,-0.024891101431238336,-0.074673304293715,,
Eloy,Arizona,2014,160.7,-0.006222775357809584,-0.24268823895457375,-0.4169259489732421,
Eloy,Arizona,2015,160.7,-0.08711885500933417,-0.09956440572495334,,
Eloy,Arizona,2016,160.7,-0.074673304293715,-0.09956440572495334,,
Eloy,Arizona,2017,160.7,0.012445550715619168,-0.024891101431238336,,
Eloy,Arizona,2018,160.7,0.006222775357809584,0.0,,
Eloy,Arizona,2019,160.7,-0.006222775357809584,-0.012445550715619168,-0.006222775357809584,
Eloy,Arizona,2020,160.7,-0.08089607965152458,-0.1120099564405725,-0.1120099564405725,
Essex,New Jersey,2011,92.8,0.1939655172413793,0.14008620689655174,0.07543103448275862,0.07543103448275862
Essex,New Jersey,2012,92.8,0.08620689655172414,0.11853448275862069,0.032327586206896554,0.032327586206896554
Essex,New Jersey,2013,92.8,0.06465517241379311,0.10775862068965518,0.05387931034482759,0.09698275862068965
Essex,New Jersey,2014,92.8,0.04310344827586207,0.06465517241379311,0.08620689655172414,0.07543103448275862
Essex,New Jersey,2015,92.8,0.032327586206896554,0.07543103448275862,0.04310344827586207,0.08620689655172414
Essex,New Jersey,2016,92.8,0.26939655172413796,0.1939655172413793,0.14008620689655174,0.09698275862068965
Essex,New Jersey,2017,92.8,0.21551724137931036,0.12931034482758622,0.14008620689655174,0.11853448275862069
Essex,New Jersey,2018,92.8,0.10775862068965518,0.10775862068965518,0.09698275862068965,0.09698275862068965
Essex,New Jersey,2019,92.8,0.14008620689655174,0.0,0.05387931034482759,0.010775862068965518
