City,State,Year,SeasonWidth,20%,40%,60%,80%
Avondale,Arizona,2011,165.5,0.0,0.0,0.0,0.0
Avondale,Arizona,2012,165.5,0.08459214501510574,0.06948640483383686,0.006042296072507553,0.006042296072507553
Avondale,Arizona,2013,165.5,0.054380664652567974,0.03625377643504532,0.012084592145015106,
Avondale,Arizona,2014,165.5,-0.006042296072507553,-0.02416918429003021,-0.06042296072507553,-0.23564954682779457
Avondale,Arizona,2015,165.5,0.06042296072507553,-0.015105740181268883,-0.03927492447129909,-0.1027190332326284
Avondale,Arizona,2016,165.5,-0.0030211480362537764,-0.006042296072507553,-0.01812688821752266,
Avondale,Arizona,2017,165.5,0.06646525679758308,0.030211480362537766,0.01812688821752266,-0.06042296072507553
Avondale,Arizona,2018,165.5,-0.13293051359516617,-0.08157099697885196,0.06646525679758308,0.06042296072507553
Avondale,Arizona,2019,165.5,0.04229607250755287,-0.03625377643504532,0.03625377643504532,
Avondale,Arizona,2020,165.5,-0.0755287009063444,-0.0755287009063444,-0.030211480362537766,
Butte,California,2011,115.6,0.060553633217993084,0.11245674740484429,0.15570934256055363,-0.00865051903114187
Butte,California,2012,115.6,0.06920415224913495,0.060553633217993084,0.004325259515570935,0.01730103806228374
Butte,California,2013,115.6,0.09515570934256055,0.043252595155709346,-0.00865051903114187,-0.043252595155709346
Butte,California,2014,115.6,0.14705882352941177,0.060553633217993084,0.025951557093425608,0.025951557093425608
Butte,California,2015,115.6,0.1903114186851211,0.15570934256055363,0.00865051903114187,-0.060553633217993084
Butte,California,2016,115.6,0.06920415224913495,0.043252595155709346,-0.01730103806228374,-0.09515570934256055
Butte,California,2017,115.6,0.00865051903114187,-0.01730103806228374,-0.060553633217993084,-0.07785467128027682
Butte,California,2018,115.6,0.14705882352941177,0.12975778546712805,-0.10380622837370243,
Butte,California,2019,115.6,-0.09515570934256055,-0.10380622837370243,-0.08650519031141869,
Butte,California,2020,115.6,0.2508650519031142,0.21626297577854672,0.20761245674740486,
Cameron,Texas,2011,214.7,0.0,0.0,0.0,-0.032603632976245925
Cameron,Texas,2012,214.7,0.04657661853749418,0.037261294829995344,-0.02794597112249651,
Cameron,Texas,2013,214.7,-0.037261294829995344,-0.004657661853749418,0.004657661853749418,-0.013972985561248255
Cameron,Texas,2014,214.7,0.0,-0.037261294829995344,,
Cameron,Texas,2015,214.7,-0.037261294829995344,-0.018630647414997672,-0.06054960409874244,
Cameron,Texas,2016,214.7,-0.018630647414997672,0.0,-0.06054960409874244,
Cameron,Texas,2017,214.7,-0.02794597112249651,-0.009315323707498836,-0.07452258965999069,-0.05589194224499302
Cameron,Texas,2018,214.7,0.02794597112249651,0.02794597112249651,0.013972985561248255,-0.013972985561248255
Cameron,Texas,2019,214.7,-0.009315323707498836,-0.1560316721006055,-0.24219841639496975,-0.05589194224499302
Cameron,Texas,2020,214.7,0.009315323707498836,0.004657661853749418,-0.032603632976245925,
Collier,Florida,2011,276.6,0.0,0.0,0.0,0.0018076644974692696
Collier,Florida,2012,276.6,-0.027114967462039043,-0.0036153289949385392,-0.0036153289949385392,0.054229934924078085
Collier,Florida,2013,276.6,-0.018076644974692694,-0.0072306579898770785,-0.021691973969631236,-0.0036153289949385392
Collier,Florida,2014,276.6,-0.018076644974692694,-0.025307302964569775,-0.014461315979754157,0.05784526391901663
Collier,Florida,2015,276.6,0.09038322487346348,-0.014461315979754157,0.028922631959508314,-0.04338394793926247
Collier,Florida,2016,276.6,-0.010845986984815618,0.0036153289949385392,-0.010845986984815618,-0.014461315979754157
Collier,Florida,2017,276.6,-0.018076644974692694,-0.018076644974692694,-0.021691973969631236,-0.0036153289949385392
Collier,Florida,2018,276.6,-0.005422993492407809,0.0036153289949385392,0.010845986984815618,0.025307302964569775
Collier,Florida,2019,276.6,-0.018076644974692694,-0.021691973969631236,-0.028922631959508314,0.021691973969631236
Collier,Florida,2020,276.6,-0.023499638467100504,-0.014461315979754157,-0.014461315979754157,-0.0072306579898770785
Colusa,California,2011,117.7,0.0,0.0594732370433305,0.10195412064570943,-0.025488530161427356
Colusa,California,2012,117.7,0.08496176720475786,0.09345794392523364,0.06796941376380629,0.025488530161427356
Colusa,California,2013,117.7,0.10195412064570943,-0.008496176720475786,-0.07646559048428207,-0.16142735768903993
Colusa,California,2014,117.7,0.06796941376380629,0.0,-0.008496176720475786,0.0
Colusa,California,2015,117.7,0.1274426508071368,0.09345794392523364,0.15293118096856415,-0.0594732370433305
Colusa,California,2016,117.7,0.08496176720475786,0.0594732370433305,-0.008496176720475786,-0.038232795242141036
Colusa,California,2017,117.7,0.05097706032285471,0.025488530161427356,0.0,-0.05097706032285471
Colusa,California,2018,117.7,0.16992353440951571,0.16992353440951571,-0.04672897196261682,0.06796941376380629
Colusa,California,2019,117.7,-0.016992353440951572,-0.06796941376380629,-0.05097706032285471,
Colusa,California,2020,117.7,0.13593882752761258,0.10195412064570943,0.21240441801189464,
Eloy,Arizona,2011,160.7,0.0,0.0,0.0,
Eloy,Arizona,2012,160.7,-0.08711885500933417,-0.09334163036714375,-0.12756689483509645,0.006222775357809584
Eloy,Arizona,2013,160.7,-0.006222775357809584,-0.0373366521468575,-0.04978220286247667,
Eloy,Arizona,2014,160.7,0.006222775357809584,-0.006222775357809584,-0.36714374611076545,
Eloy,Arizona,2015,160.7,0.043559427504667084,-0.006222775357809584,-0.09334163036714375,-0.06222775357809583
Eloy,Arizona,2016,160.7,0.01866832607342875,0.006222775357809584,-0.01866832607342875,
Eloy,Arizona,2017,160.7,0.031113876789047916,0.031113876789047916,-0.2738021157436217,-0.2551337896701929
Eloy,Arizona,2018,160.7,0.09334163036714375,0.05600497822028625,,
Eloy,Arizona,2019,160.7,0.0,-0.006222775357809584,,
Eloy,Arizona,2020,160.7,0.006222775357809584,-0.01866832607342875,-0.059116365899191045,
Essex,New Jersey,2011,92.8,0.29094827586206895,0.23706896551724138,0.1724137931034483,0.09698275862068965
Essex,New Jersey,2012,92.8,0.07543103448275862,0.09698275862068965,0.05387931034482759,0.021551724137931036
Essex,New Jersey,2013,92.8,0.010775862068965518,0.010775862068965518,0.04310344827586207,0.021551724137931036
Essex,New Jersey,2014,92.8,0.021551724137931036,0.032327586206896554,0.05387931034482759,0.07543103448275862
Essex,New Jersey,2015,92.8,0.032327586206896554,0.032327586206896554,0.032327586206896554,0.11853448275862069
Essex,New Jersey,2016,92.8,0.20474137931034483,0.14008620689655174,0.11853448275862069,0.12931034482758622
Essex,New Jersey,2017,92.8,0.1939655172413793,0.15086206896551724,0.15086206896551724,0.12931034482758622
Essex,New Jersey,2018,92.8,0.15086206896551724,0.1831896551724138,0.021551724137931036,0.010775862068965518
Essex,New Jersey,2019,92.8,0.08620689655172414,0.06465517241379311,0.06465517241379311,0.04310344827586207
Essex,New Jersey,2020,92.8,0.10775862068965518,0.09698275862068965,0.09698275862068965,0.04310344827586207
Fairfield,Connecticut,2011,86.1,0.30197444831591175,0.18583042973286876,0.12775842044134728,0.10452961672473868
Fairfield,Connecticut,2012,86.1,0.0813008130081301,0.11614401858304298,0.023228803716608595,-0.011614401858304297
Fairfield,Connecticut,2013,86.1,0.0696864111498258,0.0813008130081301,0.05807200929152149,0.023228803716608595
Fairfield,Connecticut,2014,86.1,0.22067363530778167,0.18583042973286876,0.1393728222996516,0.1393728222996516
Fairfield,Connecticut,2015,86.1,0.05807200929152149,0.023228803716608595,0.0696864111498258,0.04645760743321719
Fairfield,Connecticut,2016,86.1,0.18583042973286876,0.09291521486643438,0.0813008130081301,0.04645760743321719
Fairfield,Connecticut,2017,86.1,0.10452961672473868,0.0696864111498258,0.011614401858304297,-0.023228803716608595
Fairfield,Connecticut,2018,86.1,0.19744483159117307,0.12775842044134728,0.011614401858304297,-0.0348432055749129
Fairfield,Connecticut,2019,86.1,0.0696864111498258,0.05807200929152149,0.011614401858304297,-0.023228803716608595
Fairfield,Connecticut,2020,86.1,0.15098722415795587,0.12775842044134728,0.12775842044134728,0.09291521486643438
Forsyth,North Carolina,2011,106.4,0.11278195488721804,0.16917293233082706,0.22556390977443608,0.3007518796992481
Forsyth,North Carolina,2012,106.4,0.06578947368421052,0.018796992481203006,0.02819548872180451,-0.02819548872180451
Forsyth,North Carolina,2013,106.4,0.0,0.03759398496240601,0.07518796992481203,0.15037593984962405
Forsyth,North Carolina,2014,106.4,0.17857142857142858,0.11278195488721804,0.08458646616541353,0.07518796992481203
Forsyth,North Carolina,2015,106.4,0.05639097744360902,0.03759398496240601,0.03759398496240601,0.08458646616541353
Forsyth,North Carolina,2016,106.4,0.05639097744360902,0.03759398496240601,0.05639097744360902,0.05639097744360902
Forsyth,North Carolina,2017,106.4,0.18796992481203006,0.15977443609022557,0.12218045112781954,0.13157894736842105
Forsyth,North Carolina,2018,106.4,0.08458646616541353,0.06578947368421052,0.08458646616541353,0.12218045112781954
Forsyth,North Carolina,2019,106.4,0.06578947368421052,0.018796992481203006,-0.03759398496240601,-0.018796992481203006
Forsyth,North Carolina,2020,106.4,0.2725563909774436,0.2537593984962406,0.2631578947368421,0.2349624060150376
Fortuna Foothills,Arizona,2011,176.2,0.0,0.0,0.0,0.0
Fortuna Foothills,Arizona,2012,176.2,0.07377979568671963,0.11350737797956868,0.10215664018161182,0.08513053348467652
Fortuna Foothills,Arizona,2013,176.2,0.045402951191827474,0.0170261066969353,0.0,
Fortuna Foothills,Arizona,2014,176.2,0.11918274687854712,0.08513053348467652,-0.0993189557321226,
Fortuna Foothills,Arizona,2015,176.2,0.002837684449489217,-0.03688989784335982,0.0170261066969353,0.005675368898978434
Fortuna Foothills,Arizona,2016,176.2,-0.05107832009080591,0.0,0.011350737797956869,0.011350737797956869
Fortuna Foothills,Arizona,2017,176.2,0.08796821793416573,0.045402951191827474,0.03972758229284904,
Fortuna Foothills,Arizona,2018,176.2,-0.0340522133938706,0.05107832009080591,0.0340522133938706,
Fortuna Foothills,Arizona,2019,176.2,-0.05959137343927356,-0.02837684449489217,0.05675368898978434,0.062429057888762775
Fortuna Foothills,Arizona,2020,176.2,0.0822928490351873,0.11918274687854712,0.02837684449489217,0.03972758229284904
Jackson,Florida,2011,141.2,0.0,0.0,0.056657223796034,-0.028328611898017
Jackson,Florida,2012,141.2,0.03541076487252125,0.0,0.00708215297450425,-0.00708215297450425
Jackson,Florida,2013,141.2,0.0141643059490085,-0.0141643059490085,-0.00708215297450425,
Jackson,Florida,2014,141.2,0.09915014164305949,0.06373937677053824,0.0141643059490085,-0.0141643059490085
Jackson,Florida,2015,141.2,0.049575070821529746,0.021246458923512748,-0.00708215297450425,-0.10623229461756374
Jackson,Florida,2016,141.2,0.07790368271954674,0.00708215297450425,-0.042492917847025496,0.0
Jackson,Florida,2017,141.2,0.03541076487252125,0.0141643059490085,-0.021246458923512748,-0.00708215297450425
Jackson,Florida,2018,141.2,0.021246458923512748,0.06373937677053824,0.06373937677053824,-0.33286118980169976
Jackson,Florida,2019,141.2,-0.021246458923512748,-0.042492917847025496,-0.1558073654390935,-0.028328611898017
Jackson,Florida,2020,141.2,0.16997167138810199,0.0708215297450425,0.056657223796034,0.028328611898017
Marana,Arizona,2011,156.6,0.0,0.0,0.0,
Marana,Arizona,2012,156.6,0.13409961685823754,-0.0925925925925926,-0.070242656449553,0.2650063856960409
Marana,Arizona,2013,156.6,0.03831417624521073,0.0,-0.019157088122605366,
Marana,Arizona,2014,156.6,0.0,-0.006385696040868455,-0.019157088122605366,-0.6130268199233717
Marana,Arizona,2015,156.6,0.04469987228607918,-0.01277139208173691,-0.3703703703703704,-0.3767560664112388
Marana,Arizona,2016,156.6,0.006385696040868455,-0.006385696040868455,-0.561941251596424,
Marana,Arizona,2017,156.6,0.031928480204342274,0.01277139208173691,-0.24904214559386975,-0.04469987228607918
Marana,Arizona,2018,156.6,0.11494252873563218,0.07662835249042146,-0.6130268199233717,
Marana,Arizona,2019,156.6,0.04469987228607918,0.03831417624521073,-0.22349936143039592,-0.12132822477650064
Marana,Arizona,2020,156.6,0.006385696040868455,-0.01277139208173691,-0.12132822477650064,-0.09578544061302682
Maricopa,Arizona,2011,159.2,0.0,0.0,0.0,
Maricopa,Arizona,2012,159.2,0.08165829145728644,0.05025125628140704,0.03454773869346734,0.13819095477386936
Maricopa,Arizona,2013,159.2,0.00628140703517588,-0.0314070351758794,-0.056532663316582916,
Maricopa,Arizona,2014,159.2,-0.01256281407035176,-0.02512562814070352,-0.4585427135678392,
Maricopa,Arizona,2015,159.2,0.0314070351758794,-0.02198492462311558,-0.056532663316582916,
Maricopa,Arizona,2016,159.2,0.01884422110552764,0.00628140703517588,-0.02512562814070352,
Maricopa,Arizona,2017,159.2,0.0314070351758794,0.01256281407035176,0.02512562814070352,-0.00628140703517588
Maricopa,Arizona,2018,159.2,-0.0628140703517588,-0.0628140703517588,0.05025125628140704,
Maricopa,Arizona,2019,159.2,0.01884422110552764,-0.1413316582914573,-0.03768844221105528,
Maricopa,Arizona,2020,159.2,0.00628140703517588,-0.00628140703517588,-0.01884422110552764,-0.08165829145728644
New York,New York,2011,96.5,0.25906735751295334,0.31088082901554404,0.19689119170984457,0.09326424870466321
New York,New York,2012,96.5,0.14507772020725387,0.14507772020725387,0.08290155440414508,0.05181347150259067
New York,New York,2013,96.5,0.08290155440414508,0.02072538860103627,0.010362694300518135,0.031088082901554404
New York,New York,2014,96.5,0.04145077720207254,0.04145077720207254,0.11398963730569948,0.06217616580310881
New York,New York,2015,96.5,0.06217616580310881,0.06217616580310881,0.05181347150259067,0.15544041450777202
New York,New York,2016,96.5,0.09326424870466321,0.10362694300518134,0.07253886010362694,0.15544041450777202
New York,New York,2017,96.5,0.22797927461139897,0.21761658031088082,0.16580310880829016,0.14507772020725387
New York,New York,2018,96.5,0.11398963730569948,0.18652849740932642,0.06217616580310881,0.08290155440414508
New York,New York,2019,96.5,0.15544041450777202,0.16580310880829016,0.12435233160621761,0.06217616580310881
New York,New York,2020,96.5,0.12435233160621761,0.12435233160621761,0.11398963730569948,-0.0051813471502590676
Nogales,Arizona,2011,112.1,0.01784121320249777,0.026761819803746655,0.03568242640499554,0.0
