City,State,Year,SeasonWidth,20%,40%,60%,80%
Avondale,Arizona,2011,165.5,-0.08459214501510574,0.09667673716012085,0.1510574018126888,
Avondale,Arizona,2012,165.5,0.021148036253776436,0.006042296072507553,0.02416918429003021,0.012084592145015106
Avondale,Arizona,2013,165.5,-0.030211480362537766,0.6283987915407855,0.17522658610271905,
Avondale,Arizona,2014,165.5,-0.02416918429003021,-0.04229607250755287,-0.03625377643504532,
Avondale,Arizona,2015,165.5,-0.06042296072507553,-0.012084592145015106,0.02416918429003021,
Avondale,Arizona,2016,165.5,0.07854984894259819,0.12084592145015106,0.12084592145015106,
Avondale,Arizona,2017,165.5,-0.04833836858006042,-0.03625377643504532,,
Avondale,Arizona,2018,165.5,0.03625377643504532,0.07854984894259819,0.09667673716012085,
Avondale,Arizona,2019,165.5,-0.04833836858006042,0.07250755287009064,0.03625377643504532,0.7673716012084593
Avondale,Arizona,2020,165.5,0.015105740181268883,0.054380664652567974,0.054380664652567974,
Butte,California,2011,115.6,0.00865051903114187,0.15570934256055363,-0.03460207612456748,-0.060553633217993084
Butte,California,2012,115.6,-0.025951557093425608,0.0,-0.00865051903114187,0.01730103806228374
Butte,California,2013,115.6,-0.025951557093425608,-0.025951557093425608,0.060553633217993084,0.00865051903114187
Butte,California,2014,115.6,-0.11245674740484429,-0.03460207612456748,0.06920415224913495,0.0
Butte,California,2015,115.6,-0.060553633217993084,-0.01730103806228374,-0.00865051903114187,0.12110726643598617
Butte,California,2016,115.6,-0.060553633217993084,-0.03460207612456748,-0.051903114186851215,-0.00865051903114187
Butte,California,2017,115.6,-0.03460207612456748,0.0,0.00865051903114187,
Butte,California,2018,115.6,0.0,0.06920415224913495,0.09083044982698962,
Butte,California,2019,115.6,0.060553633217993084,0.051903114186851215,0.051903114186851215,
Butte,California,2020,115.6,0.01730103806228374,0.01730103806228374,0.0,
Cameron,Texas,2011,214.7,-0.07918025151374011,-0.004657661853749418,,
Cameron,Texas,2012,214.7,0.06520726595249185,0.4145319049836982,0.08383791336748952,
Cameron,Texas,2013,214.7,-0.013972985561248255,-0.009315323707498836,0.6101537028411738,
Cameron,Texas,2014,214.7,0.47042384722869124,0.4145319049836982,,
Cameron,Texas,2015,214.7,0.0,-0.004657661853749418,0.07452258965999069,
Cameron,Texas,2016,214.7,0.013972985561248255,0.3586399627387052,0.0512342803912436,
Cameron,Texas,2017,214.7,0.4843968327899395,0.3865859338612017,0.29809035863996275,
Cameron,Texas,2018,214.7,0.009315323707498836,0.34932463903120636,0.5822077317186772,
Cameron,Texas,2019,214.7,-0.013972985561248255,0.058220773171867725,,
Cameron,Texas,2020,214.7,0.3074056823474616,0.5216581276199348,0.21891010712622264,
Collier,Florida,2011,276.6,0.0,0.35791757049891537,0.32537960954446854,0.0072306579898770785
Collier,Florida,2012,276.6,0.005422993492407809,0.018076644974692694,-0.07592190889370933,
Collier,Florida,2013,276.6,0.025307302964569775,0.0036153289949385392,0.019884309472161965,
Collier,Florida,2014,276.6,0.0,0.12292118582791033,,
Collier,Florida,2015,276.6,0.0,-0.16992046276211134,0.0072306579898770785,0.10845986984815617
Collier,Florida,2016,276.6,0.38322487346348516,0.36876355748373096,0.31814895155459144,0.2205350686912509
Collier,Florida,2017,276.6,0.0,0.0,-0.014461315979754157,-0.014461315979754157
Collier,Florida,2018,276.6,0.0036153289949385392,0.0,0.03796095444685466,
Collier,Florida,2019,276.6,0.0,0.014461315979754157,0.05784526391901663,
Collier,Florida,2020,276.6,-0.021691973969631236,-0.2494577006507592,,
Colusa,California,2011,117.7,0.0,0.13593882752761258,0.0,
Colusa,California,2012,117.7,0.0,0.07646559048428207,0.4078164825828377,0.10195412064570943
Colusa,California,2013,117.7,-0.008496176720475786,-0.033984706881903144,0.07646559048428207,0.07646559048428207
Colusa,California,2014,117.7,-0.04248088360237893,-0.05097706032285471,0.0594732370433305,0.1784197111299915
Colusa,California,2015,117.7,0.07646559048428207,0.0,0.24638912489379777,0.6287170773152081
Colusa,California,2016,117.7,-0.15293118096856415,-0.025488530161427356,0.05097706032285471,0.10195412064570943
Colusa,California,2017,117.7,-0.033984706881903144,0.0,0.5097706032285472,
Colusa,California,2018,117.7,0.016992353440951572,0.15293118096856415,0.13169073916737467,0.05097706032285471
Colusa,California,2019,117.7,0.06796941376380629,0.05097706032285471,,
Colusa,California,2020,117.7,0.10195412064570943,0.11045029736618521,,
Eloy,Arizona,2011,160.7,-0.06845052893590542,0.42314872433105166,0.43559427504667086,0.06222775357809583
Eloy,Arizona,2012,160.7,0.028002489110143126,0.006222775357809584,0.01866832607342875,0.0373366521468575
Eloy,Arizona,2013,160.7,-0.006222775357809584,0.5476042314872434,0.5724953329184816,
Eloy,Arizona,2014,160.7,-0.043559427504667084,-0.006222775357809584,-0.024891101431238336,
Eloy,Arizona,2015,160.7,-0.06845052893590542,-0.024891101431238336,0.031113876789047916,
Eloy,Arizona,2016,160.7,0.6969508400746733,0.6845052893590542,,
Eloy,Arizona,2017,160.7,-0.031113876789047916,0.2551337896701929,,
Eloy,Arizona,2018,160.7,-0.01866832607342875,0.024891101431238336,,
Eloy,Arizona,2019,160.7,-0.01866832607342875,0.1804604853764779,,
Eloy,Arizona,2020,160.7,-0.0373366521468575,-0.006222775357809584,0.24891101431238333,
Essex,New Jersey,2011,92.8,-0.05387931034482759,-0.032327586206896554,-0.032327586206896554,0.0
Essex,New Jersey,2012,92.8,-0.04310344827586207,-0.06465517241379311,-0.04310344827586207,-0.021551724137931036
Essex,New Jersey,2013,92.8,0.0,-0.021551724137931036,-0.010775862068965518,-0.021551724137931036
Essex,New Jersey,2014,92.8,-0.021551724137931036,-0.021551724137931036,-0.032327586206896554,-0.032327586206896554
Essex,New Jersey,2015,92.8,0.04310344827586207,0.032327586206896554,0.04310344827586207,-0.04310344827586207
Essex,New Jersey,2016,92.8,-0.010775862068965518,-0.021551724137931036,-0.05387931034482759,0.0
Essex,New Jersey,2017,92.8,-0.08620689655172414,-0.07543103448275862,0.010775862068965518,-0.010775862068965518
Essex,New Jersey,2018,92.8,-0.08620689655172414,0.0,0.010775862068965518,0.1724137931034483
Essex,New Jersey,2019,92.8,-0.021551724137931036,-0.021551724137931036,-0.032327586206896554,-0.05387931034482759
Essex,New Jersey,2020,92.8,-0.05387931034482759,-0.04310344827586207,0.010775862068965518,-0.04849137931034483
Fairfield,Connecticut,2011,86.1,-0.0348432055749129,-0.011614401858304297,-0.011614401858304297,-0.04645760743321719
Fairfield,Connecticut,2012,86.1,0.023228803716608595,0.0348432055749129,0.04645760743321719,0.011614401858304297
Fairfield,Connecticut,2013,86.1,-0.011614401858304297,-0.0348432055749129,-0.05807200929152149,-0.011614401858304297
Fairfield,Connecticut,2014,86.1,0.011614401858304297,0.0,0.011614401858304297,0.10452961672473868
Fairfield,Connecticut,2015,86.1,-0.011614401858304297,0.0,-0.011614401858304297,0.0696864111498258
Fairfield,Connecticut,2016,86.1,-0.1626016260162602,-0.0813008130081301,-0.04645760743321719,0.04645760743321719
Fairfield,Connecticut,2017,86.1,-0.0348432055749129,-0.0348432055749129,0.0,0.20905923344947736
Fairfield,Connecticut,2018,86.1,-0.09291521486643438,-0.05807200929152149,-0.011614401858304297,0.15098722415795587
Fairfield,Connecticut,2019,86.1,-0.011614401858304297,-0.0348432055749129,-0.04645760743321719,0.023228803716608595
Fairfield,Connecticut,2020,86.1,-0.17421602787456447,-0.15098722415795587,-0.04645760743321719,-0.05807200929152149
Forsyth,North Carolina,2011,106.4,-0.07518796992481203,-0.11278195488721804,-0.11278195488721804,-0.12218045112781954
Forsyth,North Carolina,2012,106.4,-0.018796992481203006,-0.046992481203007516,-0.06578947368421052,-0.03759398496240601
Forsyth,North Carolina,2013,106.4,-0.08458646616541353,-0.02819548872180451,0.09398496240601503,-0.09398496240601503
Forsyth,North Carolina,2014,106.4,-0.03759398496240601,-0.07518796992481203,-0.14097744360902256,-0.19736842105263158
Forsyth,North Carolina,2015,106.4,-0.08458646616541353,-0.046992481203007516,-0.06578947368421052,-0.06578947368421052
Forsyth,North Carolina,2016,106.4,0.0,-0.009398496240601503,-0.02819548872180451,-0.11278195488721804
Forsyth,North Carolina,2017,106.4,-0.046992481203007516,-0.07518796992481203,-0.09398496240601503,-0.15977443609022557
Forsyth,North Carolina,2018,106.4,-0.02819548872180451,-0.05639097744360902,-0.05639097744360902,-0.03759398496240601
Forsyth,North Carolina,2019,106.4,-0.009398496240601503,0.018796992481203006,0.0,
Forsyth,North Carolina,2020,106.4,-0.08458646616541353,-0.05639097744360902,-0.08458646616541353,0.009398496240601503
Fortuna Foothills,Arizona,2011,176.2,0.12485811577752555,0.14188422247446084,0.13053348467650397,
Fortuna Foothills,Arizona,2012,176.2,-0.011350737797956869,0.0170261066969353,0.005675368898978434,0.0
Fortuna Foothills,Arizona,2013,176.2,0.6980703745743474,0.1362088535754824,0.19296254256526676,
Fortuna Foothills,Arizona,2014,176.2,-0.011350737797956869,-0.005675368898978434,-0.0170261066969353,
Fortuna Foothills,Arizona,2015,176.2,0.03972758229284904,0.03972758229284904,0.14755959137343927,
Fortuna Foothills,Arizona,2016,176.2,-0.011350737797956869,0.03972758229284904,0.0340522133938706,0.062429057888762775
Fortuna Foothills,Arizona,2017,176.2,0.12485811577752555,0.13053348467650397,0.15323496027241773,
Fortuna Foothills,Arizona,2018,176.2,0.10783200908059025,0.09648127128263338,,
Fortuna Foothills,Arizona,2019,176.2,0.2156640181611805,0.11350737797956868,0.07945516458569808,0.05675368898978434
Fortuna Foothills,Arizona,2020,176.2,-0.0170261066969353,0.03972758229284904,0.011350737797956869,-0.022701475595913737
Jackson,Florida,2011,141.2,0.00708215297450425,0.1274787535410765,0.4674220963172805,
Jackson,Florida,2012,141.2,0.0141643059490085,0.09915014164305949,0.08498583569405099,
Jackson,Florida,2013,141.2,0.0,0.0,0.0,
Jackson,Florida,2014,141.2,-0.021246458923512748,0.0,0.09915014164305949,0.113314447592068
Jackson,Florida,2015,141.2,0.056657223796034,0.049575070821529746,0.028328611898017,0.16997167138810199
Jackson,Florida,2016,141.2,0.03541076487252125,0.08498583569405099,0.056657223796034,0.07790368271954674
Jackson,Florida,2017,141.2,0.0,0.00708215297450425,0.19830028328611898,0.311614730878187
Jackson,Florida,2018,141.2,0.028328611898017,0.03541076487252125,0.03541076487252125,
Jackson,Florida,2019,141.2,-0.021246458923512748,0.03541076487252125,0.41784702549575076,
Jackson,Florida,2020,141.2,-0.0141643059490085,0.00708215297450425,0.4674220963172805,0.4674220963172805
Marana,Arizona,2011,156.6,-0.09578544061302682,0.0,0.01277139208173691,
Marana,Arizona,2012,156.6,-0.02554278416347382,0.006385696040868455,0.0031928480204342275,0.02554278416347382
Marana,Arizona,2013,156.6,-0.019157088122605366,-0.03831417624521073,0.5683269476372925,
Marana,Arizona,2014,156.6,-0.03831417624521073,-0.01277139208173691,-0.03831417624521073,
Marana,Arizona,2015,156.6,-0.05108556832694764,-0.019157088122605366,0.02554278416347382,-0.019157088122605366
Marana,Arizona,2016,156.6,0.006385696040868455,0.6385696040868455,,
Marana,Arizona,2017,156.6,-0.031928480204342274,-0.03831417624521073,0.2681992337164751,
Marana,Arizona,2018,156.6,-0.019157088122605366,0.01277139208173691,0.019157088122605366,
Marana,Arizona,2019,156.6,-0.006385696040868455,0.13409961685823754,0.1979565772669221,
Marana,Arizona,2020,156.6,-0.03831417624521073,-0.031928480204342274,-0.031928480204342274,-0.04469987228607918
Maricopa,Arizona,2011,159.2,-0.06909547738693468,0.521356783919598,0.5590452261306533,
Maricopa,Arizona,2012,159.2,0.028266331658291458,0.01256281407035176,0.02512562814070352,0.02512562814070352
Maricopa,Arizona,2013,159.2,0.628140703517588,0.6469849246231156,,
Maricopa,Arizona,2014,159.2,-0.01884422110552764,-0.01256281407035176,0.0,
Maricopa,Arizona,2015,159.2,-0.06909547738693468,0.02512562814070352,,
Maricopa,Arizona,2016,159.2,0.06909547738693468,0.1256281407035176,,
Maricopa,Arizona,2017,159.2,-0.05025125628140704,0.7035175879396985,,
Maricopa,Arizona,2018,159.2,0.0314070351758794,0.0628140703517588,,
Maricopa,Arizona,2019,159.2,0.00628140703517588,0.04396984924623116,0.04396984924623116,
Maricopa,Arizona,2020,159.2,-0.01256281407035176,0.6218592964824121,0.056532663316582916,
New York,New York,2011,96.5,-0.09326424870466321,-0.07253886010362694,-0.06217616580310881,-0.05181347150259067
New York,New York,2012,96.5,-0.05181347150259067,-0.10362694300518134,-0.031088082901554404,0.04145077720207254
New York,New York,2013,96.5,-0.04145077720207254,-0.04145077720207254,-0.04145077720207254,-0.07253886010362694
New York,New York,2014,96.5,-0.04145077720207254,-0.08290155440414508,-0.15544041450777202,-0.3005181347150259
New York,New York,2015,96.5,-0.11398963730569948,-0.010362694300518135,-0.031088082901554404,-0.08290155440414508
New York,New York,2016,96.5,-0.06217616580310881,-0.02072538860103627,-0.05181347150259067,-0.05181347150259067
New York,New York,2017,96.5,-0.05181347150259067,-0.05181347150259067,-0.06217616580310881,-0.09326424870466321
