City,State,Year,SeasonWidth,20%,40%,60%,80%
Avondale,Arizona,2011,165.5,0.006042296072507553,0.07250755287009064,0.07854984894259819,
Avondale,Arizona,2012,165.5,0.0030211480362537764,-0.006042296072507553,0.030211480362537766,0.03625377643504532
Avondale,Arizona,2013,165.5,-0.012084592145015106,0.006042296072507553,0.1691842900302115,
Avondale,Arizona,2014,165.5,-0.04833836858006042,-0.01812688821752266,0.006042296072507553,
Avondale,Arizona,2015,165.5,-0.04229607250755287,-0.00906344410876133,-0.02416918429003021,0.054380664652567974
Avondale,Arizona,2016,165.5,0.03323262839879154,0.10876132930513595,0.10876132930513595,
Avondale,Arizona,2017,165.5,-0.030211480362537766,-0.030211480362537766,0.03927492447129909,0.1027190332326284
Avondale,Arizona,2018,165.5,0.02416918429003021,0.015105740181268883,0.07250755287009064,0.06646525679758308
Avondale,Arizona,2019,165.5,-0.006042296072507553,0.03927492447129909,0.045317220543806644,0.7250755287009063
Avondale,Arizona,2020,165.5,0.04833836858006042,0.08459214501510574,0.08459214501510574,
Butte,California,2011,115.6,0.00865051903114187,0.15570934256055363,0.0,0.06920415224913495
Butte,California,2012,115.6,-0.025951557093425608,0.0,-0.06920415224913495,0.043252595155709346
Butte,California,2013,115.6,-0.060553633217993084,-0.03460207612456748,0.051903114186851215,0.025951557093425608
Butte,California,2014,115.6,-0.10380622837370243,-0.025951557093425608,-0.01730103806228374,-0.01730103806228374
Butte,California,2015,115.6,0.03460207612456748,-0.025951557093425608,-0.00865051903114187,
Butte,California,2016,115.6,-0.09515570934256055,-0.025951557093425608,-0.03460207612456748,0.0
Butte,California,2017,115.6,-0.043252595155709346,-0.00865051903114187,0.012975778546712804,0.060553633217993084
Butte,California,2018,115.6,-0.03460207612456748,-0.03460207612456748,0.060553633217993084,0.09083044982698962
Butte,California,2019,115.6,-0.01730103806228374,-0.043252595155709346,0.03460207612456748,
Butte,California,2020,115.6,-0.01730103806228374,-0.025951557093425608,0.051903114186851215,
Cameron,Texas,2011,214.7,-0.032603632976245925,-0.013972985561248255,-0.013972985561248255,
Cameron,Texas,2012,214.7,0.004657661853749418,0.0,0.09315323707498836,
Cameron,Texas,2013,214.7,-0.018630647414997672,-0.009315323707498836,0.009315323707498836,0.02794597112249651
Cameron,Texas,2014,214.7,0.07918025151374011,0.009315323707498836,,
Cameron,Texas,2015,214.7,-0.004657661853749418,-0.02328830926874709,0.018630647414997672,
Cameron,Texas,2016,214.7,-0.009315323707498836,0.07918025151374011,0.0512342803912436,
Cameron,Texas,2017,214.7,-0.013972985561248255,0.07452258965999069,0.2841173730787145,
Cameron,Texas,2018,214.7,0.0,0.032603632976245925,0.009315323707498836,
Cameron,Texas,2019,214.7,-0.009315323707498836,-0.16767582673497905,0.0512342803912436,
Cameron,Texas,2020,214.7,0.013972985561248255,0.04191895668374476,0.22356776897997208,
Collier,Florida,2011,276.6,0.0,0.0,0.010845986984815618,-0.009038322487346347
Collier,Florida,2012,276.6,0.014461315979754157,0.018076644974692694,0.0072306579898770785,0.018076644974692694
Collier,Florida,2013,276.6,0.04338394793926247,-0.0036153289949385392,-0.021691973969631236,-0.03253796095444685
Collier,Florida,2014,276.6,0.0036153289949385392,0.06869125090383224,0.0,-0.014461315979754157
Collier,Florida,2015,276.6,0.0072306579898770785,-0.0036153289949385392,0.0,0.014461315979754157
Collier,Florida,2016,276.6,0.014461315979754157,0.018076644974692694,-0.025307302964569775,-0.12292118582791033
Collier,Florida,2017,276.6,0.0,0.0,-0.025307302964569775,-0.012653651482284888
Collier,Florida,2018,276.6,0.08676789587852494,0.207881417208966,-0.0018076644974692696,-0.021691973969631236
Collier,Florida,2019,276.6,0.0,-0.014461315979754157,0.0,-0.0072306579898770785
Collier,Florida,2020,276.6,-0.0036153289949385392,-0.0018076644974692696,-0.010845986984815618,0.014461315979754157
Colusa,California,2011,117.7,-0.016992353440951572,0.07646559048428207,-0.08496176720475786,-0.08496176720475786
Colusa,California,2012,117.7,-0.0594732370433305,-0.033984706881903144,0.025488530161427356,0.025488530161427356
Colusa,California,2013,117.7,-0.05097706032285471,-0.04248088360237893,-0.09345794392523364,-0.14443500424808836
Colusa,California,2014,117.7,0.0,-0.04248088360237893,-0.033984706881903144,-0.05097706032285471
Colusa,California,2015,117.7,0.05097706032285471,-0.033984706881903144,-0.025488530161427356,0.07646559048428207
Colusa,California,2016,117.7,-0.13593882752761258,-0.033984706881903144,-0.033984706881903144,0.04248088360237893
Colusa,California,2017,117.7,-0.033984706881903144,-0.016992353440951572,0.016992353440951572,0.0
Colusa,California,2018,117.7,-0.118946474086661,-0.05097706032285471,-0.025488530161427356,0.025488530161427356
Colusa,California,2019,117.7,-0.016992353440951572,-0.06796941376380629,-0.008496176720475786,-0.008496176720475786
Colusa,California,2020,117.7,-0.033984706881903144,-0.025488530161427356,-0.08496176720475786,-0.008496176720475786
Eloy,Arizona,2011,160.7,0.006222775357809584,0.043559427504667084,0.42937149968886124,
Eloy,Arizona,2012,160.7,-0.009334163036714376,-0.006222775357809584,0.031113876789047916,0.11823273179838209
Eloy,Arizona,2013,160.7,-0.006222775357809584,0.0,0.006222775357809584,
Eloy,Arizona,2014,160.7,-0.06845052893590542,-0.01866832607342875,-0.01866832607342875,
Eloy,Arizona,2015,160.7,-0.04978220286247667,-0.0373366521468575,0.031113876789047916,
Eloy,Arizona,2016,160.7,0.012445550715619168,0.05600497822028625,0.14934660858743,
Eloy,Arizona,2017,160.7,-0.0373366521468575,-0.031113876789047916,-0.012445550715619168,
Eloy,Arizona,2018,160.7,-0.031113876789047916,-0.01866832607342875,,
Eloy,Arizona,2019,160.7,0.0,0.043559427504667084,0.0715619166148102,
Eloy,Arizona,2020,160.7,-0.024891101431238336,0.031113876789047916,0.14001244555071563,
Essex,New Jersey,2011,92.8,-0.04310344827586207,-0.05387931034482759,-0.04310344827586207,-0.07543103448275862
Essex,New Jersey,2012,92.8,-0.032327586206896554,-0.05387931034482759,0.032327586206896554,-0.021551724137931036
Essex,New Jersey,2013,92.8,0.0,-0.010775862068965518,0.0,-0.021551724137931036
Essex,New Jersey,2014,92.8,0.0,-0.010775862068965518,0.0,0.07543103448275862
Essex,New Jersey,2015,92.8,0.0,0.010775862068965518,0.032327586206896554,-0.04310344827586207
Essex,New Jersey,2016,92.8,-0.010775862068965518,-0.021551724137931036,-0.021551724137931036,-0.06465517241379311
Essex,New Jersey,2017,92.8,-0.06465517241379311,0.010775862068965518,0.0,0.010775862068965518
Essex,New Jersey,2018,92.8,-0.08620689655172414,0.0,0.04310344827586207,0.1724137931034483
Essex,New Jersey,2019,92.8,-0.010775862068965518,-0.010775862068965518,-0.021551724137931036,-0.04310344827586207
Essex,New Jersey,2020,92.8,-0.010775862068965518,-0.032327586206896554,-0.06465517241379311,-0.032327586206896554
Fairfield,Connecticut,2011,86.1,-0.04645760743321719,-0.05807200929152149,0.011614401858304297,-0.023228803716608595
Fairfield,Connecticut,2012,86.1,0.0,0.011614401858304297,0.04645760743321719,0.023228803716608595
Fairfield,Connecticut,2013,86.1,-0.023228803716608595,-0.023228803716608595,-0.0348432055749129,-0.05807200929152149
Fairfield,Connecticut,2014,86.1,0.0,0.0,0.04645760743321719,0.12775842044134728
Fairfield,Connecticut,2015,86.1,-0.04645760743321719,0.0,0.0,0.10452961672473868
Fairfield,Connecticut,2016,86.1,-0.12775842044134728,-0.0696864111498258,-0.011614401858304297,0.011614401858304297
Fairfield,Connecticut,2017,86.1,-0.0348432055749129,-0.023228803716608595,0.0696864111498258,0.19744483159117307
Fairfield,Connecticut,2018,86.1,-0.10452961672473868,-0.0348432055749129,-0.023228803716608595,0.25551684088269455
Fairfield,Connecticut,2019,86.1,0.011614401858304297,-0.011614401858304297,-0.0348432055749129,-0.22067363530778167
Fairfield,Connecticut,2020,86.1,-0.12775842044134728,-0.15098722415795587,-0.1626016260162602,-0.0813008130081301
Forsyth,North Carolina,2011,106.4,-0.03759398496240601,-0.06578947368421052,-0.08458646616541353,-0.11278195488721804
Forsyth,North Carolina,2012,106.4,-0.03759398496240601,-0.12218045112781954,-0.07518796992481203,-0.09398496240601503
Forsyth,North Carolina,2013,106.4,-0.09398496240601503,-0.06578947368421052,-0.1362781954887218,-0.07518796992481203
Forsyth,North Carolina,2014,106.4,-0.05639097744360902,-0.07518796992481203,-0.10338345864661654,-0.06578947368421052
Forsyth,North Carolina,2015,106.4,-0.018796992481203006,-0.046992481203007516,-0.06578947368421052,-0.02819548872180451
Forsyth,North Carolina,2016,106.4,-0.02819548872180451,-0.018796992481203006,-0.17857142857142858,0.02819548872180451
Forsyth,North Carolina,2017,106.4,-0.02819548872180451,-0.009398496240601503,-0.02819548872180451,-0.12218045112781954
Forsyth,North Carolina,2018,106.4,-0.05639097744360902,-0.08458646616541353,-0.09398496240601503,-0.2161654135338346
Forsyth,North Carolina,2019,106.4,-0.05639097744360902,0.0,-0.018796992481203006,-0.03759398496240601
Forsyth,North Carolina,2020,106.4,-0.02819548872180451,-0.02819548872180451,-0.05639097744360902,-0.02819548872180451
Fortuna Foothills,Arizona,2011,176.2,0.11350737797956868,0.09648127128263338,0.08513053348467652,0.02837684449489217
Fortuna Foothills,Arizona,2012,176.2,-0.045402951191827474,0.0,-0.005675368898978434,-0.45402951191827473
Fortuna Foothills,Arizona,2013,176.2,0.6186152099886493,0.05675368898978434,0.10215664018161182,
Fortuna Foothills,Arizona,2014,176.2,-0.05107832009080591,-0.045402951191827474,0.17309875141884223,
Fortuna Foothills,Arizona,2015,176.2,-0.002837684449489217,-0.00851305334846765,-0.005675368898978434,
Fortuna Foothills,Arizona,2016,176.2,-0.045402951191827474,-0.022701475595913737,-0.03972758229284904,-0.03972758229284904
Fortuna Foothills,Arizona,2017,176.2,0.0340522133938706,0.03972758229284904,0.03688989784335982,
Fortuna Foothills,Arizona,2018,176.2,0.053916004540295125,,,
Fortuna Foothills,Arizona,2019,176.2,0.03688989784335982,0.062429057888762775,0.05675368898978434,0.1362088535754824
Fortuna Foothills,Arizona,2020,176.2,-0.00851305334846765,0.0,-0.02837684449489217,-0.062429057888762775
Jackson,Florida,2011,141.2,-0.0141643059490085,0.0141643059490085,0.09915014164305949,0.19121813031161475
Jackson,Florida,2012,141.2,0.00708215297450425,0.049575070821529746,0.056657223796034,0.021246458923512748
Jackson,Florida,2013,141.2,-0.00708215297450425,0.0141643059490085,0.0,-0.00708215297450425
Jackson,Florida,2014,141.2,-0.0141643059490085,-0.028328611898017,0.08498583569405099,0.12039660056657225
Jackson,Florida,2015,141.2,0.042492917847025496,0.03541076487252125,0.0141643059490085,0.0
Jackson,Florida,2016,141.2,-0.028328611898017,0.0141643059490085,0.049575070821529746,0.056657223796034
Jackson,Florida,2017,141.2,0.00708215297450425,0.0,-0.00708215297450425,0.28328611898017
Jackson,Florida,2018,141.2,-0.0141643059490085,0.042492917847025496,0.028328611898017,0.08498583569405099
Jackson,Florida,2019,141.2,0.0,0.0141643059490085,0.0141643059490085,-0.0141643059490085
Jackson,Florida,2020,141.2,-0.042492917847025496,0.0,-0.00708215297450425,0.042492917847025496
Marana,Arizona,2011,156.6,-0.006385696040868455,0.0,0.10855683269476374,
Marana,Arizona,2012,156.6,-0.05747126436781609,0.009578544061302683,0.04469987228607918,0.019157088122605366
Marana,Arizona,2013,156.6,0.0,0.0,0.01277139208173691,
Marana,Arizona,2014,156.6,-0.06385696040868455,-0.070242656449553,-0.031928480204342274,-0.02554278416347382
Marana,Arizona,2015,156.6,-0.04469987228607918,-0.03831417624521073,0.04469987228607918,0.08939974457215837
Marana,Arizona,2016,156.6,0.0,0.06385696040868455,0.02554278416347382,
Marana,Arizona,2017,156.6,-0.02554278416347382,-0.031928480204342274,-0.02554278416347382,
Marana,Arizona,2018,156.6,-0.031928480204342274,-0.006385696040868455,,
Marana,Arizona,2019,156.6,0.006385696040868455,0.031928480204342274,0.08301404853128991,
Marana,Arizona,2020,156.6,-0.02554278416347382,-0.006385696040868455,0.0,
Maricopa,Arizona,2011,159.2,0.0,0.0314070351758794,0.5402010050251257,
Maricopa,Arizona,2012,159.2,-0.0157035175879397,-0.0157035175879397,0.02512562814070352,0.1256281407035176
Maricopa,Arizona,2013,159.2,-0.01884422110552764,0.00628140703517588,,
Maricopa,Arizona,2014,159.2,-0.05025125628140704,-0.00628140703517588,0.0,
Maricopa,Arizona,2015,159.2,-0.04396984924623116,-0.00314070351758794,0.07537688442211056,
Maricopa,Arizona,2016,159.2,0.00314070351758794,0.04396984924623116,0.10678391959798995,
Maricopa,Arizona,2017,159.2,-0.03768844221105528,-0.03768844221105528,0.04082914572864322,0.08793969849246232
Maricopa,Arizona,2018,159.2,0.00942211055276382,0.00628140703517588,0.05025125628140704,
Maricopa,Arizona,2019,159.2,-0.01256281407035176,0.00942211055276382,-0.01256281407035176,
Maricopa,Arizona,2020,159.2,0.0,0.08165829145728644,0.08793969849246232,
New York,New York,2011,96.5,-0.031088082901554404,-0.04145077720207254,-0.031088082901554404,-0.04145077720207254
New York,New York,2012,96.5,-0.05181347150259067,-0.02072538860103627,-0.02072538860103627,-0.02072538860103627
New York,New York,2013,96.5,-0.05181347150259067,-0.04145077720207254,-0.08290155440414508,-0.06217616580310881
New York,New York,2014,96.5,-0.02072538860103627,-0.031088082901554404,-0.02072538860103627,-0.17616580310880828
New York,New York,2015,96.5,-0.031088082901554404,-0.031088082901554404,-0.05181347150259067,-0.12435233160621761
New York,New York,2016,96.5,-0.08290155440414508,-0.08290155440414508,-0.06217616580310881,-0.13471502590673576
New York,New York,2017,96.5,-0.031088082901554404,-0.02072538860103627,-0.010362694300518135,-0.07253886010362694
New York,New York,2018,96.5,-0.07253886010362694,-0.031088082901554404,-0.010362694300518135,0.10362694300518134
New York,New York,2019,96.5,-0.031088082901554404,-0.06217616580310881,-0.07253886010362694,-0.21761658031088082
New York,New York,2020,96.5,-0.04145077720207254,-0.06217616580310881,-0.12435233160621761,-0.07253886010362694
Nogales,Arizona,2011,112.1,-0.01784121320249777,-0.008920606601248885,-0.04460303300624443,-0.0624442462087422
Nogales,Arizona,2012,112.1,-0.0624442462087422,-0.07136485280999108,-0.05352363960749331,0.0
Nogales,Arizona,2013,112.1,-0.0624442462087422,-0.04460303300624443,-0.04460303300624443,0.0
Nogales,Arizona,2014,112.1,-0.07136485280999108,-0.05352363960749331,0.10704727921498662,0.026761819803746655
Nogales,Arizona,2015,112.1,-0.04460303300624443,-0.008920606601248885,0.10704727921498662,0.08920606601248886
Nogales,Arizona,2016,112.1,0.05352363960749331,0.0,0.03568242640499554,0.0624442462087422
Nogales,Arizona,2017,112.1,-0.026761819803746655,-0.05352363960749331,-0.07136485280999108,0.11596788581623552
Nogales,Arizona,2018,112.1,-0.0624442462087422,-0.04460303300624443,0.11596788581623552,-0.026761819803746655
Nogales,Arizona,2019,112.1,-0.1248884924174844,-0.07136485280999108,-0.07136485280999108,-0.08028545941123996
Nogales,Arizona,2020,112.1,-0.09812667261373774,-0.08920606601248886,-0.09812667261373774,-0.16057091882247992
Osceola,Florida,2011,181.3,-0.011031439602868174,0.0,0.1985659128516271,
Osceola,Florida,2012,181.3,0.005515719801434087,-0.011031439602868174,-0.02206287920573635,0.04964147821290678
Osceola,Florida,2013,181.3,0.0,-0.027578599007170433,0.011031439602868174,0.0
Osceola,Florida,2014,181.3,0.005515719801434087,0.01654715940430226,-0.0441257584114727,0.01654715940430226
Osceola,Florida,2015,181.3,-0.005515719801434087,0.09928295642581356,0.03861003861003861,0.1985659128516271
Osceola,Florida,2016,181.3,-0.02206287920573635,0.055157198014340866,0.0,-0.005515719801434087
Osceola,Florida,2017,181.3,-0.027578599007170433,-0.02206287920573635,0.011031439602868174,
Osceola,Florida,2018,181.3,-0.01654715940430226,-0.011031439602868174,0.005515719801434087,0.18201875344732488
Osceola,Florida,2019,181.3,-0.03309431880860452,-0.011031439602868174,-0.0882515168229454,0.0
Osceola,Florida,2020,181.3,0.005515719801434087,-0.02206287920573635,0.005515719801434087,0.011031439602868174
Pinellas,Florida,2011,183.0,0.04371584699453552,0.02185792349726776,0.03278688524590164,-0.04371584699453552
Pinellas,Florida,2012,183.0,-0.00546448087431694,0.0,0.01092896174863388,-0.01639344262295082
Pinellas,Florida,2013,183.0,-0.01092896174863388,-0.00546448087431694,0.02459016393442623,
Pinellas,Florida,2014,183.0,-0.00546448087431694,-0.02185792349726776,0.01639344262295082,0.1092896174863388
Pinellas,Florida,2015,183.0,0.01092896174863388,0.00546448087431694,-0.01092896174863388,-0.0273224043715847
Pinellas,Florida,2016,183.0,-0.03278688524590164,0.04918032786885246,0.03825136612021858,0.03825136612021858
Pinellas,Florida,2017,183.0,-0.01092896174863388,0.02185792349726776,0.01092896174863388,0.02185792349726776
Pinellas,Florida,2018,183.0,-0.02185792349726776,-0.01639344262295082,0.00546448087431694,0.12021857923497267
Pinellas,Florida,2019,183.0,0.00546448087431694,0.0,0.02185792349726776,
Pinellas,Florida,2020,183.0,0.0273224043715847,0.0,0.0273224043715847,
Pitt,North Carolina,2011,122.7,-0.07334963325183375,-0.032599837000814993,-0.08149959250203749,-0.040749796251018745
Pitt,North Carolina,2012,122.7,-0.016299918500407497,-0.15484922575387122,-0.04889975550122249,-0.040749796251018745
Pitt,North Carolina,2013,122.7,-0.05704971475142624,-0.040749796251018745,-0.04889975550122249,-0.08149959250203749
Pitt,North Carolina,2014,122.7,-0.07334963325183375,-0.05704971475142624,-0.05704971475142624,-0.05704971475142624
Pitt,North Carolina,2015,122.7,0.04889975550122249,-0.032599837000814993,-0.040749796251018745,-0.08149959250203749
Pitt,North Carolina,2016,122.7,-0.05704971475142624,-0.12224938875305623,-0.06519967400162999,-0.08149959250203749
Pitt,North Carolina,2017,122.7,-0.024449877750611245,-0.016299918500407497,-0.032599837000814993,-0.024449877750611245
Pitt,North Carolina,2018,122.7,-0.032599837000814993,-0.04889975550122249,-0.032599837000814993,0.06519967400162999
Pitt,North Carolina,2019,122.7,-0.04889975550122249,-0.08964955175224124,-0.024449877750611245,-0.040749796251018745
Pitt,North Carolina,2020,122.7,-0.040749796251018745,-0.04889975550122249,-0.024449877750611245,-0.040749796251018745
Prescott Valley,Arizona,2011,81.8,-0.07334963325183375,0.02444987775061125,-0.02444987775061125,-0.08557457212713937
Prescott Valley,Arizona,2012,81.8,0.012224938875305624,-0.08557457212713937,-0.06112469437652812,0.0
Prescott Valley,Arizona,2013,81.8,-0.07334963325183375,-0.06112469437652812,-0.0488997555012225,0.06112469437652812
Prescott Valley,Arizona,2014,81.8,-0.17114914425427874,-0.12224938875305624,-0.097799511002445,-0.19559902200489
Prescott Valley,Arizona,2015,81.8,-0.33007334963325186,-0.11002444987775062,-0.13447432762836187,-0.19559902200489
Prescott Valley,Arizona,2016,81.8,0.0,-0.012224938875305624,0.012224938875305624,-0.06112469437652812
Prescott Valley,Arizona,2017,81.8,-0.097799511002445,-0.097799511002445,-0.02444987775061125,-0.06112469437652812
Prescott Valley,Arizona,2018,81.8,-0.03667481662591687,-0.0488997555012225,0.0488997555012225,0.13447432762836187
Prescott Valley,Arizona,2019,81.8,-0.097799511002445,-0.08557457212713937,-0.08557457212713937,-0.06112469437652812
Prescott Valley,Arizona,2020,81.8,-0.03667481662591687,-0.07334963325183375,-0.02444987775061125,-0.02444987775061125
Richmond,New York,2011,98.0,-0.04081632653061224,-0.04081632653061224,-0.01020408163265306,-0.04081632653061224
Richmond,New York,2012,98.0,-0.07142857142857142,-0.04081632653061224,-0.01020408163265306,-0.05102040816326531
Richmond,New York,2013,98.0,-0.04081632653061224,-0.04081632653061224,-0.02040816326530612,-0.05102040816326531
Richmond,New York,2014,98.0,-0.01020408163265306,-0.01020408163265306,0.01020408163265306,-0.14285714285714285
Richmond,New York,2015,98.0,-0.02040816326530612,-0.01020408163265306,0.01020408163265306,-0.030612244897959183
Richmond,New York,2016,98.0,-0.07142857142857142,-0.08163265306122448,0.0,-0.07142857142857142
Richmond,New York,2017,98.0,-0.02040816326530612,-0.02040816326530612,-0.030612244897959183,-0.09183673469387756
Richmond,New York,2018,98.0,-0.05102040816326531,-0.01020408163265306,0.0,0.17346938775510204
Richmond,New York,2019,98.0,-0.061224489795918366,-0.05102040816326531,-0.05102040816326531,-0.08163265306122448
Richmond,New York,2020,98.0,-0.04081632653061224,-0.061224489795918366,-0.10204081632653061,-0.04081632653061224
Riverside,California,2011,121.9,-0.02461033634126333,0.26251025430680885,,
