City,State,Year,SeasonWidth,20%,40%,60%,80%
Avondale,Arizona,2011,165.5,0.0,0.0,0.0,
Avondale,Arizona,2012,165.5,0.03625377643504532,0.021148036253776436,0.006042296072507553,0.006042296072507553
Avondale,Arizona,2013,165.5,0.030211480362537766,0.0,-0.006042296072507553,
Avondale,Arizona,2014,165.5,-0.006042296072507553,-0.04833836858006042,-0.56797583081571,
Avondale,Arizona,2015,165.5,0.01812688821752266,-0.05740181268882175,-0.09667673716012085,-0.14501510574018128
Avondale,Arizona,2016,165.5,-0.0513595166163142,0.02416918429003021,0.006042296072507553,
Avondale,Arizona,2017,165.5,0.09667673716012085,0.08459214501510574,0.030211480362537766,-0.12084592145015106
Avondale,Arizona,2018,165.5,-0.1268882175226586,-0.09063444108761329,0.06042296072507553,0.03625377643504532
Avondale,Arizona,2019,165.5,-0.012084592145015106,-0.06646525679758308,-0.054380664652567974,0.6344410876132931
Avondale,Arizona,2020,165.5,-0.09667673716012085,0.006042296072507553,-0.01812688821752266,
Butte,California,2011,115.6,0.051903114186851215,0.051903114186851215,0.07785467128027682,0.08650519031141869
Butte,California,2012,115.6,0.043252595155709346,0.043252595155709346,0.043252595155709346,0.025951557093425608
Butte,California,2013,115.6,0.16435986159169552,0.10380622837370243,0.025951557093425608,0.09515570934256055
Butte,California,2014,115.6,0.12975778546712805,0.06920415224913495,-0.00865051903114187,-0.03460207612456748
Butte,California,2015,115.6,0.1384083044982699,0.1384083044982699,-0.09515570934256055,
Butte,California,2016,115.6,0.06920415224913495,0.060553633217993084,0.060553633217993084,0.025951557093425608
Butte,California,2017,115.6,0.025951557093425608,0.025951557093425608,0.0,0.07785467128027682
Butte,California,2018,115.6,0.09515570934256055,0.043252595155709346,0.00865051903114187,0.0
Butte,California,2019,115.6,-0.12110726643598617,-0.12110726643598617,-0.10380622837370243,
Butte,California,2020,115.6,0.29411764705882354,0.2595155709342561,0.22491349480968859,
Cameron,Texas,2011,214.7,0.0,0.0,0.0,
Cameron,Texas,2012,214.7,0.05589194224499302,0.032603632976245925,-0.032603632976245925,
Cameron,Texas,2013,214.7,-0.05589194224499302,-0.009315323707498836,-0.009315323707498836,-0.018630647414997672
Cameron,Texas,2014,214.7,-0.02328830926874709,-0.013972985561248255,,
Cameron,Texas,2015,214.7,-0.032603632976245925,-0.02794597112249651,-0.06753609687936656,
Cameron,Texas,2016,214.7,-0.013972985561248255,-0.004657661853749418,-0.07918025151374011,
Cameron,Texas,2017,214.7,-0.004657661853749418,0.009315323707498836,-0.07452258965999069,
Cameron,Texas,2018,214.7,0.06520726595249185,0.04191895668374476,0.0,
Cameron,Texas,2019,214.7,0.013972985561248255,-0.13740102468560783,-0.11877037727061016,
Cameron,Texas,2020,214.7,0.009315323707498836,-0.018630647414997672,-0.032603632976245925,
Collier,Florida,2011,276.6,0.0,0.0,-0.021691973969631236,-0.0072306579898770785
Collier,Florida,2012,276.6,-0.05061460592913955,-0.021691973969631236,-0.019884309472161965,0.03976861894432393
Collier,Florida,2013,276.6,-0.0036153289949385392,-0.025307302964569775,-0.05061460592913955,-0.0072306579898770785
Collier,Florida,2014,276.6,0.010845986984815618,-0.04699927693420101,-0.03253796095444685,0.025307302964569775
Collier,Florida,2015,276.6,0.0831525668835864,-0.018076644974692694,-0.014461315979754157,0.018076644974692694
Collier,Florida,2016,276.6,-0.010845986984815618,-0.010845986984815618,-0.04338394793926247,-0.03976861894432393
Collier,Florida,2017,276.6,-0.03976861894432393,-0.03976861894432393,-0.018076644974692694,-0.005422993492407809
Collier,Florida,2018,276.6,-0.018076644974692694,0.18618944323933476,-0.04519161243673174,-0.010845986984815618
Collier,Florida,2019,276.6,-0.06869125090383224,-0.12292118582791033,-0.04699927693420101,-0.03615328994938539
Collier,Florida,2020,276.6,-0.028922631959508314,-0.018076644974692694,-0.025307302964569775,-0.04338394793926247
Colusa,California,2011,117.7,-0.008496176720475786,0.025488530161427356,0.0594732370433305,0.025488530161427356
Colusa,California,2012,117.7,0.033984706881903144,0.05097706032285471,0.05097706032285471,0.025488530161427356
Colusa,California,2013,117.7,0.07646559048428207,0.04248088360237893,-0.04248088360237893,-0.05097706032285471
Colusa,California,2014,117.7,0.0594732370433305,0.033984706881903144,0.025488530161427356,-0.04248088360237893
Colusa,California,2015,117.7,0.118946474086661,0.11045029736618521,0.16992353440951571,-0.10195412064570943
Colusa,California,2016,117.7,0.07646559048428207,0.07646559048428207,0.07646559048428207,0.05097706032285471
Colusa,California,2017,117.7,0.11045029736618521,0.10195412064570943,0.09345794392523364,0.118946474086661
Colusa,California,2018,117.7,0.11045029736618521,0.06796941376380629,0.04248088360237893,0.055225148683092605
Colusa,California,2019,117.7,0.13593882752761258,0.033984706881903144,-0.016992353440951572,-0.016992353440951572
Colusa,California,2020,117.7,0.13593882752761258,0.13593882752761258,0.356839422259983,-0.21240441801189464
Eloy,Arizona,2011,160.7,0.0,0.0,0.0,
Eloy,Arizona,2012,160.7,-0.13690105787181084,-0.1431238332296204,-0.1524579962663348,0.11823273179838209
Eloy,Arizona,2013,160.7,-0.043559427504667084,-0.08089607965152458,-0.6658369632856255,
Eloy,Arizona,2014,160.7,0.043559427504667084,0.024891101431238336,-0.35469819539514624,
Eloy,Arizona,2015,160.7,0.0373366521468575,-0.01866832607342875,-0.08089607965152458,
Eloy,Arizona,2016,160.7,0.043559427504667084,0.024891101431238336,-0.012445550715619168,
Eloy,Arizona,2017,160.7,0.031113876789047916,0.024891101431238336,0.0373366521468575,
Eloy,Arizona,2018,160.7,0.09956440572495334,0.0373366521468575,,
Eloy,Arizona,2019,160.7,-0.031113876789047916,-0.024891101431238336,-0.11512134411947729,
Eloy,Arizona,2020,160.7,0.031113876789047916,0.012445550715619168,-0.06845052893590542,
Essex,New Jersey,2011,92.8,0.11853448275862069,0.10775862068965518,0.09698275862068965,0.05387931034482759
Essex,New Jersey,2012,92.8,0.08620689655172414,0.11853448275862069,0.07543103448275862,0.021551724137931036
Essex,New Jersey,2013,92.8,0.0,0.010775862068965518,0.06465517241379311,0.07543103448275862
Essex,New Jersey,2014,92.8,0.07543103448275862,0.04310344827586207,0.07543103448275862,0.05387931034482759
Essex,New Jersey,2015,92.8,0.09698275862068965,0.08620689655172414,0.07543103448275862,0.12931034482758622
Essex,New Jersey,2016,92.8,0.05387931034482759,0.07543103448275862,0.05387931034482759,0.032327586206896554
Essex,New Jersey,2017,92.8,0.10775862068965518,0.11853448275862069,0.10775862068965518,0.07543103448275862
Essex,New Jersey,2018,92.8,0.05387931034482759,0.06465517241379311,0.032327586206896554,0.010775862068965518
Essex,New Jersey,2019,92.8,0.09698275862068965,0.11853448275862069,0.14008620689655174,0.021551724137931036
Essex,New Jersey,2020,92.8,0.1724137931034483,0.14008620689655174,0.11853448275862069,0.12931034482758622
Fairfield,Connecticut,2011,86.1,0.023228803716608595,0.023228803716608595,0.04645760743321719,0.0696864111498258
Fairfield,Connecticut,2012,86.1,0.05807200929152149,0.0348432055749129,-0.0348432055749129,-0.0348432055749129
Fairfield,Connecticut,2013,86.1,0.05807200929152149,0.0696864111498258,0.05807200929152149,0.0348432055749129
Fairfield,Connecticut,2014,86.1,0.1626016260162602,0.15098722415795587,0.04645760743321719,0.011614401858304297
Fairfield,Connecticut,2015,86.1,0.0696864111498258,0.04645760743321719,0.0813008130081301,0.0696864111498258
Fairfield,Connecticut,2016,86.1,0.011614401858304297,0.011614401858304297,-0.011614401858304297,-0.0696864111498258
Fairfield,Connecticut,2017,86.1,0.0813008130081301,0.0696864111498258,0.023228803716608595,0.011614401858304297
Fairfield,Connecticut,2018,86.1,0.11614401858304298,0.023228803716608595,-0.011614401858304297,-0.12775842044134728
Fairfield,Connecticut,2019,86.1,0.0696864111498258,0.0813008130081301,0.05807200929152149,0.0
Fairfield,Connecticut,2020,86.1,0.20905923344947736,0.18583042973286876,0.1626016260162602,0.17421602787456447
Forsyth,North Carolina,2011,106.4,0.11278195488721804,0.16917293233082706,0.15037593984962405,0.17857142857142858
Forsyth,North Carolina,2012,106.4,0.10338345864661654,0.02819548872180451,0.03759398496240601,0.0
Forsyth,North Carolina,2013,106.4,0.09398496240601503,0.03759398496240601,0.014097744360902255,0.15977443609022557
Forsyth,North Carolina,2014,106.4,0.12218045112781954,0.09398496240601503,0.07518796992481203,0.10338345864661654
Forsyth,North Carolina,2015,106.4,-0.009398496240601503,0.0,0.03759398496240601,0.018796992481203006
Forsyth,North Carolina,2016,106.4,0.046992481203007516,0.11278195488721804,0.02819548872180451,0.02819548872180451
Forsyth,North Carolina,2017,106.4,0.2631578947368421,0.2725563909774436,0.2349624060150376,0.15977443609022557
Forsyth,North Carolina,2018,106.4,0.19736842105263158,0.18796992481203006,0.16917293233082706,0.06578947368421052
Forsyth,North Carolina,2019,106.4,0.07518796992481203,0.046992481203007516,0.02819548872180451,-0.018796992481203006
Forsyth,North Carolina,2020,106.4,0.2537593984962406,0.18796992481203006,0.19736842105263158,0.19736842105263158
Fortuna Foothills,Arizona,2011,176.2,-0.10783200908059025,0.0,0.0,0.0
Fortuna Foothills,Arizona,2012,176.2,0.06526674233825198,0.09080590238365495,0.08513053348467652,-0.34335981838819524
Fortuna Foothills,Arizona,2013,176.2,0.0340522133938706,-0.005675368898978434,-0.0340522133938706,
Fortuna Foothills,Arizona,2014,176.2,0.14755959137343927,0.12485811577752555,-0.08796821793416573,
Fortuna Foothills,Arizona,2015,176.2,0.00851305334846765,0.01986379114642452,-0.0170261066969353,
Fortuna Foothills,Arizona,2016,176.2,-0.12769580022701477,0.022701475595913737,0.02837684449489217,0.022701475595913737
Fortuna Foothills,Arizona,2017,176.2,0.05107832009080591,0.0340522133938706,0.05107832009080591,
Fortuna Foothills,Arizona,2018,176.2,-0.08513053348467652,,,
Fortuna Foothills,Arizona,2019,176.2,-0.0681044267877412,0.011350737797956869,0.005675368898978434,0.0170261066969353
Fortuna Foothills,Arizona,2020,176.2,0.062429057888762775,0.24404086265607267,0.005675368898978434,0.022701475595913737
Jackson,Florida,2011,141.2,0.0,0.0,0.00708215297450425,-0.21954674220963175
Jackson,Florida,2012,141.2,0.0,-0.028328611898017,-0.18413597733711048,-0.049575070821529746
Jackson,Florida,2013,141.2,0.028328611898017,-0.028328611898017,-0.028328611898017,-0.09915014164305949
Jackson,Florida,2014,141.2,0.12039660056657225,-0.021246458923512748,-0.021246458923512748,-0.021246458923512748
Jackson,Florida,2015,141.2,0.042492917847025496,-0.049575070821529746,-0.03541076487252125,-0.141643059490085
Jackson,Florida,2016,141.2,0.08498583569405099,0.00708215297450425,-0.03541076487252125,-0.0141643059490085
Jackson,Florida,2017,141.2,0.049575070821529746,-0.03541076487252125,-0.021246458923512748,-0.021246458923512748
Jackson,Florida,2018,141.2,0.021246458923512748,0.0,-0.049575070821529746,-0.141643059490085
Jackson,Florida,2019,141.2,-0.021246458923512748,-0.1558073654390935,-0.19830028328611898,-0.40368271954674223
Jackson,Florida,2020,141.2,0.13456090651558075,0.049575070821529746,0.00708215297450425,-0.0141643059490085
Marana,Arizona,2011,156.6,0.0,0.0,0.0,
Marana,Arizona,2012,156.6,0.019157088122605366,-0.12132822477650064,0.12132822477650064,0.03831417624521073
Marana,Arizona,2013,156.6,0.006385696040868455,-0.01277139208173691,-0.5363984674329502,
Marana,Arizona,2014,156.6,0.05108556832694764,0.031928480204342274,-0.3128991060025543,-0.4150702426564496
Marana,Arizona,2015,156.6,0.02554278416347382,0.006385696040868455,-0.01277139208173691,-0.49169859514687103
Marana,Arizona,2016,156.6,0.04469987228607918,0.03831417624521073,-0.574712643678161,
Marana,Arizona,2017,156.6,0.03831417624521073,0.01277139208173691,0.031928480204342274,
Marana,Arizona,2018,156.6,0.11494252873563218,0.05747126436781609,,
Marana,Arizona,2019,156.6,0.006385696040868455,0.01277139208173691,-0.11813537675606642,
Marana,Arizona,2020,156.6,0.01277139208173691,-0.006385696040868455,-0.03831417624521073,
Maricopa,Arizona,2011,159.2,0.0,0.0,0.0,
Maricopa,Arizona,2012,159.2,0.028266331658291458,0.01884422110552764,-0.01256281407035176,0.07537688442211056
Maricopa,Arizona,2013,159.2,-0.0314070351758794,-0.06909547738693468,,
Maricopa,Arizona,2014,159.2,-0.00628140703517588,-0.0628140703517588,-0.4334170854271357,
Maricopa,Arizona,2015,159.2,0.0,-0.06909547738693468,-0.06909547738693468,
Maricopa,Arizona,2016,159.2,-0.01256281407035176,-0.00628140703517588,-0.05025125628140704,
Maricopa,Arizona,2017,159.2,0.02512562814070352,0.00628140703517588,-0.00314070351758794,-0.17587939698492464
Maricopa,Arizona,2018,159.2,-0.08793969849246232,-0.07223618090452262,0.03768844221105528,
Maricopa,Arizona,2019,159.2,-0.01884422110552764,-0.1413316582914573,0.0,
Maricopa,Arizona,2020,159.2,0.01884422110552764,0.0,-0.056532663316582916,
